episodeIndex	10
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	62.402054	83	0.751832	18.515661	876.207633	774	1.132051	32.205595	0.677547	1.586555	0.485572	1.778531
1	1	1854.211962	1994	0.929896	29.470746	20182.002371	22497	0.897097	28.288700	0.818087	0.976108	0.784714	1.009481
1	2	15.553826	79	0.196884	2.194023	818.886806	725	1.129499	38.539851	0.615777	1.643221	0.398788	1.860210
1	3	143.879710	80	1.798496	69.156699	904.736815	818	1.106035	34.985269	0.645240	1.566831	0.450606	1.761464
2	0	20.777295	58	0.358229	2.378936	449.516971	606	0.741777	20.259296	0.334380	1.149174	0.162301	1.321253
2	1	2.924653	52	0.056243	0.072169	287.420117	569	0.505132	17.183651	0.117924	0.892340	-0.045627	1.055891
2	2	1780.313354	2435	0.731135	22.982001	19946.381475	26703	0.746972	23.282104	0.681180	0.812764	0.653390	0.840553
2	3	32.634083	54	0.604335	6.157876	409.904981	654	0.626766	22.775504	0.210963	1.042569	0.035334	1.218198
2	4	111.175145	54	2.058799	80.404487	601.789144	630	0.955221	28.813938	0.478709	1.431732	0.277438	1.633004
2	5	56.634533	55	1.029719	17.282937	448.818069	597	0.751789	24.266220	0.302572	1.201006	0.112829	1.390749
3	0	0.021372	10	0.002137	0.000021	1.351889	96	0.014082	0.003339	0.000943	0.027222	-0.004607	0.032772
3	1	0.027100	11	0.002464	0.000021	0.147727	98	0.001507	0.000014	0.000674	0.002341	0.000322	0.002692
3	2	0.000000	6	0.000000	0.000000	0.847209	94	0.009013	0.002375	-0.002187	0.020213	-0.006918	0.024944
3	3	0.404912	245	0.001653	0.000014	23.796793	2762	0.008616	0.002210	0.006623	0.010609	0.005781	0.011451
4	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
4	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
4	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
4	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
