StartTime	2015/09/27 13:33:19
FinishTime	2015/09/27 13:33:25
ElapsedTime	6.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20150927125456_10Setting_20150927125457.log
0	1.000000
1	0.031250	0.031250	0.906250	0.031250
2	0.020833	0.020833	0.020833	0.020833	0.895833	0.020833
3	0.895833	0.020833	0.020833	0.020833	0.020833	0.020833
4	0.906250	0.031250	0.031250	0.031250
5	0.031250	0.031250	0.031250	0.906250
6	0.031250	0.031250	0.031250	0.906250
299
0	2	4	0.000000
1	2	4	0.000000
2	2	4	0.000000
3	2	4	0.000000
4	2	4	0.000000
5	2	4	0.000000
6	2	4	0.000000
7	2	4	0.000000
8	2	5	0.000000
9	2	4	0.000000
10	2	5	0.000000
11	2	4	0.000000
12	2	4	0.000000
13	2	4	0.000000
14	2	4	0.000000
15	2	4	0.000000
16	2	4	0.000000
17	2	4	0.000000
18	3	0	0.000000
19	3	0	0.000000
20	2	4	0.000000
21	2	4	0.000000
22	2	4	0.000000
23	3	4	0.000000
24	3	0	0.000000
25	3	0	0.000000
26	3	0	0.000000
27	3	0	0.000000
28	3	3	0.000000
29	2	4	0.000000
30	2	4	0.000000
31	2	4	0.000000
32	2	4	0.000000
33	3	0	0.000000
34	3	0	0.000000
35	3	0	0.000000
36	3	0	0.000000
37	3	0	0.000000
38	3	0	0.000000
39	3	0	0.000000
40	3	3	0.000000
41	3	0	0.000000
42	3	0	0.000000
43	3	0	0.000000
44	3	2	0.000000
45	3	5	0.000000
46	3	0	0.000000
47	3	0	0.000000
48	3	0	0.000000
49	3	0	0.000000
50	3	0	0.000000
51	3	0	0.000000
52	3	0	0.000000
53	3	0	0.000000
54	3	3	0.000000
55	3	0	0.000000
56	3	0	0.000000
57	3	0	0.000000
58	3	0	0.000000
59	3	0	0.000000
60	3	0	0.000000
61	3	0	0.000000
62	3	0	0.000000
63	3	0	0.000000
64	3	0	0.000000
65	3	0	0.000000
66	3	0	0.000000
67	3	0	0.000000
68	3	0	0.000000
69	3	0	0.000000
70	3	1	0.000000
71	3	0	0.000000
72	3	0	0.000000
73	3	0	0.000000
74	3	0	0.000000
75	3	0	0.000000
76	3	0	0.000000
77	3	0	0.000000
78	3	0	0.000000
79	3	0	0.000000
80	3	0	0.000000
81	3	0	0.000000
82	3	0	0.000000
83	3	0	0.000000
84	3	0	0.000000
85	3	0	0.000000
86	3	0	0.000000
87	3	0	0.000000
88	3	0	0.000000
89	3	0	0.000000
90	3	0	0.000000
91	3	0	0.000000
92	3	0	0.000000
93	3	0	0.000000
94	3	0	0.000000
95	3	0	0.000000
96	3	0	0.000000
97	3	0	0.000000
98	3	0	0.000000
99	3	0	0.000000
100	3	0	0.000000
101	3	0	0.000000
102	3	0	0.000000
103	3	0	0.000000
104	3	0	0.000000
105	3	0	0.000000
106	3	0	0.000000
