episodeIndex	18
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	19	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	220.205538	247	0.891520	38.644663	635.681474	4794	0.132599	5.610939	0.060724	0.204475	0.034124	0.231074
1	1	0.000005	11	0.000000	0.000000	32.844593	190	0.172866	5.639411	-0.189085	0.534817	-0.323037	0.668770
1	2	0.000000	11	0.000000	0.000000	0.465098	171	0.002720	0.000312	-0.000117	0.005557	-0.001167	0.006607
1	3	0.000005	11	0.000000	0.000000	31.016982	177	0.175237	5.336752	-0.189569	0.540043	-0.324578	0.675052
2	0	60.776348	53	1.146724	50.599628	1441.360052	1221	1.180475	45.265631	0.775958	1.584992	0.626253	1.734697
2	1	3476.533476	3060	1.136122	37.968207	66680.643725	57138	1.167010	39.627906	1.111682	1.222339	1.091206	1.242815
2	2	125.407983	67	1.871761	48.863874	1579.343899	1350	1.169884	42.924695	0.795259	1.544509	0.656617	1.683152
2	3	38.085170	75	0.507802	10.803037	2309.091246	1387	1.664810	62.704678	1.218104	2.111516	1.052785	2.276834
2	4	114.416485	71	1.611500	44.631684	1368.406037	1309	1.045383	31.099919	0.721551	1.369215	0.601706	1.489060
2	5	143.961142	84	1.713823	65.966232	1400.631235	1352	1.035970	35.681451	0.694665	1.377275	0.568353	1.503587
3	0	0.707117	43	0.016445	0.005078	103.065949	792	0.130134	1.013780	0.054968	0.205299	0.027151	0.233117
3	1	0.420095	34	0.012356	0.001797	268.985109	800	0.336231	9.744406	0.104362	0.568100	0.018551	0.653911
3	2	128.197742	1603	0.079974	0.330043	5912.535488	31474	0.187855	3.443989	0.165878	0.209831	0.157745	0.217965
3	3	1.362947	34	0.040087	0.027578	109.691303	755	0.145286	1.598533	0.048615	0.241958	0.012839	0.277734
3	4	0.200954	36	0.005582	0.000781	135.595126	707	0.191789	2.523041	0.066284	0.317295	0.019836	0.363742
3	5	0.892994	51	0.017510	0.003745	104.265112	719	0.145014	4.180746	-0.015190	0.305218	-0.074478	0.364507
4	0	0.000000	0	-nan	-nan	0.045108	20	0.002255	0.000102	-0.002483	0.006994	-0.004237	0.008748
4	1	0.000000	31	0.000000	0.000000	2.059700	632	0.003259	0.000126	0.002322	0.004196	0.001975	0.004543
4	2	0.000000	1	0.000000	-nan	0.074172	27	0.002747	0.000098	-0.001256	0.006750	-0.002737	0.008232
4	3	0.000000	0	-nan	-nan	0.038592	11	0.003508	0.000135	-0.003862	0.010879	-0.006590	0.013607
5	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
