episodeIndex	5
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	0.000000	293	0.000000	0.000000	4.027751	1763	0.002285	0.000303	0.001219	0.003350	0.000613	0.003957
1	1	0.000000	14	0.000000	0.000000	0.500610	120	0.004172	0.000517	-0.001162	0.009506	-0.004195	0.012538
2	0	218.836005	143	1.530322	58.035429	1208.817942	797	1.516710	57.115093	0.828569	2.204852	0.437311	2.596110
2	1	3626.208643	2951	1.228807	40.837993	22263.190312	17760	1.253558	42.472774	1.127849	1.379267	1.056375	1.450741
2	2	39.952628	130	0.307328	2.228478	849.849397	802	1.059663	29.540609	0.566314	1.553011	0.285810	1.833516
3	0	37.524535	84	0.446721	15.952306	69.520402	488	0.142460	3.328827	-0.069849	0.354768	-0.190561	0.475481
3	1	2.026725	78	0.025984	0.013717	99.972024	470	0.212706	6.069411	-0.079410	0.504823	-0.245499	0.670912
3	2	472.060873	1764	0.267608	9.688182	1865.474455	10483	0.177952	5.134723	0.121061	0.234844	0.088714	0.267191
4	0	0.161227	11	0.014657	0.000649	0.644539	53	0.012161	0.000382	0.005258	0.019064	0.001333	0.022990
4	1	1.949363	124	0.015721	0.000469	9.842569	697	0.014121	0.000400	0.012174	0.016069	0.011066	0.017176
5	0	0.000000	0	-nan	-nan	0.000000	1	0.000000	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
