episodeIndex	46
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	47	0.000000	47	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	183.431247	54	3.396875	5.351161	45	5945.013154	1817	132.111403	1136.086226	40.377778	81.876768	3.271884	2.830524	3.776964	2.694515	3.963373
1	1	112.555782	34	3.310464	5.404302	45	5980.132861	1806	132.891841	680.510139	40.133333	41.163636	3.311259	2.973180	3.683450	2.866474	3.817031
1	2	130.315364	31	4.203721	9.851555	45	6465.331242	1859	143.674028	857.694540	41.311111	51.173737	3.477854	3.103417	3.893389	2.985826	4.043380
1	3	3931.906909	1180	3.332124	4.455969	46	174076.170316	52097	3784.264572	411877.375139	1132.543478	36920.920290	3.341386	3.020904	3.695875	2.920197	3.823338
2	0	67.613246	20	3.380662	4.286537	45	3536.106851	952	78.580152	429.305992	21.155556	22.861616	3.714398	3.202688	4.300661	3.045111	4.517215
2	1	48.999326	16	3.062458	4.643110	45	3342.600622	937	74.280014	556.050280	20.822222	32.104040	3.567343	2.983223	4.255473	2.806349	4.514934
2	2	57.510057	17	3.382945	3.173421	46	3585.878278	994	77.953876	562.625707	21.608696	39.176812	3.607523	3.021634	4.303693	2.845386	4.567470
2	3	69.435956	18	3.857553	12.620506	45	3613.444096	955	80.298758	782.388125	21.222222	31.631313	3.783711	3.137900	4.541256	2.941841	4.825979
2	4	103.488310	23	4.499492	7.905490	45	3788.719418	1018	84.193765	630.394592	22.622222	33.331313	3.721728	3.146999	4.391907	2.971897	4.642690
2	5	3298.483826	932	3.539146	6.050578	46	147763.107620	41445	3212.241470	345411.182540	900.978261	29264.199517	3.565282	3.191614	3.983606	3.075069	4.135326
3	0	119.014141	14	8.501010	21.410280	45	6568.911989	698	145.975822	2346.463846	15.511111	18.801010	9.411049	7.816364	11.298147	7.334781	12.012070
3	1	153.443838	19	8.075991	20.652498	45	6453.688735	665	143.415305	1642.009344	14.777778	16.267677	9.704795	8.207952	11.469040	7.754835	12.134497
3	2	125.191187	16	7.824449	24.054678	46	6547.262314	684	142.331789	2966.563929	14.869565	21.671498	9.572021	7.762569	11.752414	7.222743	12.587321
3	3	3932.055203	409	9.613827	23.251174	47	188938.361843	19644	4019.965146	1057755.389654	417.957447	9762.780759	9.618121	8.318252	11.111898	7.919843	11.663249
4	0	98.836810	7	14.119544	2.986858	44	2107.389729	155	47.895221	1223.187953	3.522727	4.813425	13.596063	8.893640	20.495226	7.631208	23.602320
4	1	62.691464	5	12.538293	9.817445	43	2411.894990	177	56.090581	990.736057	4.116279	4.819491	13.626525	9.683774	19.117713	8.594345	21.488101
4	2	129.199401	9	14.355489	1.498458	44	2498.206218	178	56.777414	1384.916967	4.045455	4.695560	14.034866	9.664259	20.105903	8.456784	22.716292
4	3	1830.918986	138	13.267529	6.115486	45	67303.194322	4973	1495.626540	386630.465114	110.511111	1445.937374	13.533721	10.733717	16.979372	9.907382	18.322103
5	0	0.000000	0	-nan	-nan	2	179.211163	10	89.605581	8976.719420	5.000000	18.000000	17.921116	-17.664050	-28.408818	-21.304726	-23.413980
5	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
