episodeIndex	10
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	11	0.000000	11	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	704.791955	247	2.853409	3.383320	11	7594.277964	2793	690.388906	6918.521035	253.909091	306.890909	2.719040	2.388264	3.081969	2.257191	3.246085
1	1	2.000000	1	2.000000	-nan	11	249.669774	92	22.697252	164.173327	8.363636	17.254545	2.713802	1.263139	5.617253	0.847607	7.951392
1	2	21.351117	6	3.558519	11.035856	11	321.273552	109	29.206687	199.708427	9.909091	11.290909	2.947464	1.620252	5.057787	1.196853	6.376454
1	3	16.380453	6	2.730076	3.197633	11	312.263657	113	28.387605	40.573223	10.272727	7.818182	2.763395	1.984037	3.891559	1.722794	4.535587
2	0	291.753547	65	4.488516	9.915369	11	3885.826816	765	353.256983	2024.197664	69.545455	65.472727	5.079512	4.308155	5.981679	4.014944	6.410407
2	1	13276.384708	3174	4.182856	7.636795	11	146643.764901	34397	13331.251355	24931.660569	3127.000000	2103.000000	4.263272	4.188087	4.339953	4.156768	4.372803
2	2	242.149652	66	3.668934	5.189110	11	3083.034264	777	280.275842	1723.840434	70.636364	76.854545	3.967869	3.298006	4.759596	3.045064	5.139007
2	3	286.146562	59	4.849942	7.859060	11	3804.112287	763	345.828390	1725.575787	69.363636	89.654545	4.985730	4.198383	5.932069	3.904193	6.391750
2	4	329.335334	79	4.168802	8.406642	11	3424.377941	769	311.307086	1781.847520	69.909091	60.290909	4.453027	3.766347	5.250447	3.504133	5.627258
2	5	283.249635	74	3.827698	6.392890	11	3068.034091	784	278.912190	783.174921	71.272727	58.418182	3.913309	3.404266	4.501392	3.209239	4.778151
3	0	380.892243	33	11.542189	15.515479	11	5045.642732	467	458.694794	9264.440529	42.454545	79.672727	10.804374	8.132570	14.355085	7.192836	16.231923
3	1	12949.338408	1259	10.285416	18.659827	11	149193.801797	14326	13563.072891	253118.697576	1302.363636	1296.654545	10.414198	9.969493	10.875736	9.786491	11.075974
3	2	422.159209	39	10.824595	20.359809	11	4876.648914	468	443.331719	5819.619030	42.545455	42.472727	10.420190	8.355729	12.958290	7.595071	14.214177
3	3	515.489903	48	10.739373	18.507850	11	4991.959390	510	453.814490	2021.878552	46.363636	17.654545	9.788156	8.612267	11.116511	8.155172	11.730784
4	0	77.853403	5	15.570681	0.273059	11	1404.899984	92	127.718180	1280.583903	8.363636	5.854545	15.270652	10.378986	22.522475	8.760300	26.755853
4	1	3425.898869	222	15.431977	0.434000	11	36021.756552	2355	3274.705141	177231.927528	214.090909	760.690909	15.295863	12.861675	18.191314	11.946207	19.586001
4	2	77.121493	5	15.424299	0.362637	11	1231.618762	80	111.965342	1473.984050	7.272727	6.418182	15.395235	9.601762	24.728735	7.765811	30.638115
4	3	61.703428	4	15.425857	0.530219	11	1109.824380	72	100.893125	1718.069947	6.545455	7.472727	15.414227	8.714805	27.339131	6.692237	35.721166
5	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
