episodeIndex	890
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	891	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	2438.000000	1164	2.094502	7.127777	1.937326	2.251677	1.884957	2.304047
1	1	0.000000	0	-nan	-nan	278.000000	64	4.343750	13.340278	3.426734	5.260766	3.121192	5.566308
2	0	2.000000	1	2.000000	-nan	7234.000000	1634	4.427173	16.740866	4.223868	4.630477	4.156128	4.698217
2	1	0.000000	0	-nan	-nan	736.000000	114	6.456140	24.002484	5.534503	7.377778	5.227421	7.684860
3	0	3.000000	1	3.000000	-nan	12459.000000	1847	6.745533	26.173565	6.506432	6.984635	6.426765	7.064301
3	1	0.000000	0	-nan	-nan	1237.000000	131	9.442748	34.233235	8.415979	10.469517	8.073868	10.811628
4	0	4.000000	1	4.000000	-nan	17550.000000	1915	9.164491	36.333953	8.887824	9.441157	8.795642	9.533340
4	1	0.000000	0	-nan	-nan	1422.000000	134	10.611940	33.818202	9.602902	11.620978	9.266700	11.957181
5	0	14.000000	2	7.000000	8.000000	21090.000000	1872	11.266026	44.228498	10.957293	11.574758	10.854426	11.677625
5	1	0.000000	0	-nan	-nan	1758.000000	136	12.926471	43.224183	11.794126	14.058815	11.416839	14.436102
6	0	54.000000	5	10.800000	17.200000	24992.000000	1849	13.516495	52.673023	13.177487	13.855504	13.064533	13.968458
6	1	12.000000	1	12.000000	-nan	1838.000000	123	14.943089	50.381981	13.657597	16.228582	13.229282	16.656897
7	0	46.000000	4	11.500000	11.666667	29310.000000	1880	15.590426	57.207359	15.240052	15.940799	15.123310	16.057541
7	1	17.000000	1	17.000000	-nan	2070.000000	112	18.482143	75.729408	16.830531	20.133754	16.280229	20.684056
8	0	18.000000	1	18.000000	-nan	33070.000000	1888	17.515890	61.499482	17.153380	17.878399	17.032595	17.999184
8	1	0.000000	0	-nan	-nan	2406.000000	123	19.560976	65.477809	18.095498	21.026453	17.607214	21.514737
9	0	19.000000	1	19.000000	-nan	27279.000000	1465	18.620478	62.271165	18.206374	19.034582	18.068398	19.172557
