episodeIndex	151
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	403.000000	195	2.066667	5.742955	1.721972	2.411362	1.607122	2.526211
1	1	0.000000	0	-nan	-nan	65.000000	13	5.000000	39.333333	1.506238	8.493762	0.342148	9.657852
2	0	16.000000	3	5.333333	9.333333	1224.000000	284	4.309859	15.649231	3.838370	4.781349	3.681274	4.938445
2	1	0.000000	0	-nan	-nan	132.000000	17	7.764706	55.941176	4.121146	11.408266	2.907144	12.622268
3	0	35.000000	5	7.000000	10.000000	2271.000000	327	6.944954	31.665672	6.319918	7.569990	6.111662	7.778247
3	1	0.000000	0	-nan	-nan	175.000000	19	9.210526	23.953216	6.955302	11.465750	6.203882	12.217171
4	0	26.000000	3	8.666667	17.333333	3264.000000	344	9.488372	36.472168	8.834359	10.142385	8.616448	10.360296
4	1	0.000000	0	-nan	-nan	304.000000	25	12.160000	46.306667	9.426391	14.893609	8.515577	15.804423
5	0	13.000000	1	13.000000	-nan	3845.000000	337	11.409496	40.700862	10.711470	12.107521	10.478894	12.340097
5	1	0.000000	0	-nan	-nan	309.000000	23	13.434783	41.438735	10.738758	16.130808	9.840466	17.029099
6	0	14.000000	1	14.000000	-nan	4214.000000	313	13.463259	46.839191	12.686266	14.240252	12.427379	14.499139
6	1	0.000000	0	-nan	-nan	344.000000	24	14.333333	53.101449	11.345667	17.321000	10.350203	18.316464
7	0	15.000000	1	15.000000	-nan	5086.000000	324	15.697531	52.626495	14.888036	16.507026	14.618319	16.776743
7	1	0.000000	0	-nan	-nan	352.000000	18	19.555556	54.967320	16.045608	23.065503	14.876125	24.234986
8	0	34.000000	2	17.000000	2.000000	6046.000000	332	18.210843	60.197103	17.355573	19.066114	17.070605	19.351082
8	1	0.000000	0	-nan	-nan	418.000000	18	23.222222	57.477124	19.633037	26.811407	18.437153	28.007292
9	0	36.000000	2	18.000000	2.000000	4949.000000	253	19.561265	65.763097	18.537228	20.585301	18.196028	20.926501
