episodeIndex	986
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	2734.000000	1294	2.112828	7.298938	1.961978	2.263679	1.911716	2.313941
1	1	0.000000	0	-nan	-nan	326.000000	74	4.405405	13.559422	3.545621	5.265189	3.259149	5.551662
2	0	8.000000	2	4.000000	8.000000	8018.000000	1817	4.412768	16.219396	4.223000	4.602537	4.159770	4.665766
2	1	0.000000	0	-nan	-nan	818.000000	125	6.544000	23.701677	5.669381	7.418619	5.377965	7.710035
3	0	15.000000	3	5.000000	4.000000	13733.000000	2049	6.702294	24.979687	6.480522	6.924066	6.406629	6.997959
3	1	0.000000	0	-nan	-nan	1358.000000	144	9.430556	32.400738	8.477802	10.383310	8.160352	10.700759
4	0	12.000000	2	6.000000	8.000000	19452.000000	2133	9.119550	34.655964	8.863527	9.375572	8.778223	9.460877
4	1	0.000000	0	-nan	-nan	1500.000000	142	10.563380	34.517231	9.573099	11.553661	9.243147	11.883614
5	0	9.000000	1	9.000000	-nan	23388.000000	2082	11.233429	42.400074	10.946796	11.520063	10.851292	11.615567
5	1	0.000000	0	-nan	-nan	1859.000000	143	13.000000	43.436620	11.893008	14.106992	11.524168	14.475832
6	0	10.000000	1	10.000000	-nan	27660.000000	2049	13.499268	51.481567	13.180893	13.817643	13.074813	13.923723
6	1	0.000000	0	-nan	-nan	1950.000000	132	14.772727	48.650243	13.553344	15.992110	13.147057	16.398398
7	0	11.000000	1	11.000000	-nan	32293.000000	2073	15.577906	56.725709	15.245649	15.910164	15.134944	16.020869
7	1	0.000000	0	-nan	-nan	2353.000000	125	18.824000	76.968774	17.247889	20.400111	16.722742	20.925258
8	0	12.000000	1	12.000000	-nan	36566.000000	2082	17.562920	61.215885	17.218510	17.907331	17.103755	18.022085
8	1	0.000000	0	-nan	-nan	2610.000000	135	19.333333	65.134328	17.938178	20.728489	17.473324	21.193343
9	0	13.000000	1	13.000000	-nan	30132.000000	1618	18.622991	61.534957	18.231289	19.014694	18.100777	19.145206
