episodeIndex	0
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	1	0.000000	-nan
1	0	0.000000	217	0.000000	0.000000	0.000000	217	0.000000	0.000000
1	1	0.000000	9	0.000000	0.000000	0.000000	9	0.000000	0.000000
2	0	1546.495848	1423	1.086786	29.018673	1546.495848	1423	1.086786	29.018673
2	1	133.079399	75	1.774392	32.803670	133.079399	75	1.774392	32.803670
3	0	212.682286	106	2.006437	84.061878	212.682286	106	2.006437	84.061878
3	1	2357.455833	1716	1.373809	51.442464	2357.455833	1716	1.373809	51.442464
4	0	0.128521	44	0.002921	0.000104	0.128521	44	0.002921	0.000104
4	1	24.845132	714	0.034797	0.033674	24.845132	714	0.034797	0.033674
5	0	2.277122	61	0.037330	0.009692	2.277122	61	0.037330	0.009692
5	1	34.459860	901	0.038246	0.015212	34.459860	901	0.038246	0.015212
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
6	1	0.000000	22	0.000000	0.000000	0.000000	22	0.000000	0.000000
