episodeIndex	28
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	62.000000	34	1.823529	3.664884	1.151007	2.496052	0.916309	2.730750
1	1	5.000000	1	5.000000	-nan	10.000000	4	2.500000	3.666667	0.538800	4.461200	-0.145622	5.145622
2	0	12.000000	3	4.000000	4.000000	292.000000	60	4.866667	27.032768	3.491720	6.241613	3.011890	6.721444
2	1	0.000000	0	-nan	-nan	62.000000	6	10.333333	143.066667	0.330804	20.335863	-3.159889	23.826555
3	0	10.000000	2	5.000000	8.000000	678.000000	80	8.475000	64.885443	6.630219	10.319781	5.986425	10.963575
3	1	0.000000	0	-nan	-nan	62.000000	6	10.333333	25.066667	6.146469	14.520198	4.685333	15.981334
4	0	0.000000	0	-nan	-nan	914.000000	80	11.425000	63.817089	9.595469	13.254531	8.956998	13.893002
4	1	8.000000	1	8.000000	-nan	158.000000	11	14.363636	79.854545	8.844518	19.882755	6.918451	21.808822
5	0	9.000000	1	9.000000	-nan	1058.000000	76	13.921053	67.673684	11.988108	15.853997	11.313547	16.528558
5	1	0.000000	0	-nan	-nan	79.000000	5	15.800000	69.200000	8.179485	23.420515	5.520071	26.079929
6	0	22.000000	2	11.000000	2.000000	1018.000000	66	15.424242	58.924942	13.488739	17.359745	12.813286	18.035199
6	1	0.000000	0	-nan	-nan	76.000000	6	12.666667	10.666667	9.935457	15.397876	8.982317	16.351016
7	0	41.000000	3	13.666667	9.333333	1211.000000	73	16.589041	44.550989	14.988807	18.189275	14.430356	18.747726
7	1	19.000000	1	19.000000	-nan	130.000000	6	21.666667	37.866667	16.520674	26.812659	14.724821	28.608513
8	0	68.000000	4	17.000000	6.666667	1588.000000	78	20.358974	55.142191	18.636666	22.081283	18.035613	22.682336
8	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
9	0	36.000000	2	18.000000	18.000000	1154.000000	52	22.192308	67.648567	19.855926	24.528690	19.040573	25.344043
