episodeIndex	0
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	1	0.000000	-nan
1	0	0.242408	356	0.000681	0.000082	0.242408	356	0.000681	0.000082
1	1	0.000026	16	0.000002	0.000000	0.000026	16	0.000002	0.000000
1	2	0.118278	13	0.009098	0.001076	0.118278	13	0.009098	0.001076
2	0	104.982029	134	0.783448	13.410100	104.982029	134	0.783448	13.410100
2	1	3918.183382	2586	1.515152	52.558194	3918.183382	2586	1.515152	52.558194
2	2	49.625373	134	0.370339	2.688617	49.625373	134	0.370339	2.688617
3	0	34.831565	28	1.243984	43.322592	34.831565	28	1.243984	43.322592
3	1	1.817128	32	0.056785	0.084462	1.817128	32	0.056785	0.084462
3	2	270.172852	708	0.381600	8.786628	270.172852	708	0.381600	8.786628
4	0	0.029239	24	0.001218	0.000006	0.029239	24	0.001218	0.000006
4	1	0.028824	23	0.001253	0.000009	0.028824	23	0.001253	0.000009
4	2	2.563495	577	0.004443	0.000634	2.563495	577	0.004443	0.000634
5	0	0.280822	32	0.008776	0.000293	0.280822	32	0.008776	0.000293
5	1	0.024387	18	0.001355	0.000016	0.024387	18	0.001355	0.000016
5	2	4.556191	649	0.007020	0.000298	4.556191	649	0.007020	0.000298
6	0	0.000000	1	0.000000	-nan	0.000000	1	0.000000	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
6	2	0.000000	9	0.000000	0.000000	0.000000	9	0.000000	0.000000
