episodeIndex	0
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	1	0.000000	-nan
1	0	0.576012	392	0.001469	0.000187	0.576012	392	0.001469	0.000187
1	1	0.067025	28	0.002394	0.000160	0.067025	28	0.002394	0.000160
2	0	322.398884	110	2.930899	116.882705	322.398884	110	2.930899	116.882705
2	1	3456.262039	2702	1.279150	43.222218	3456.262039	2702	1.279150	43.222218
2	2	254.653351	117	2.176524	107.014383	254.653351	117	2.176524	107.014383
3	0	0.978937	34	0.028792	0.027944	0.978937	34	0.028792	0.027944
3	1	5.429810	33	0.164540	0.891952	5.429810	33	0.164540	0.891952
3	2	676.273309	842	0.803175	34.079117	676.273309	842	0.803175	34.079117
4	0	1.055834	22	0.047992	0.014937	1.055834	22	0.047992	0.014937
4	1	13.111359	406	0.032294	0.012796	13.111359	406	0.032294	0.012796
5	0	1.572536	69	0.022790	0.006062	1.572536	69	0.022790	0.006062
5	1	9.636903	1007	0.009570	0.002711	9.636903	1007	0.009570	0.002711
6	0	0.000000	1	0.000000	-nan	0.000000	1	0.000000	-nan
6	1	0.000000	31	0.000000	0.000000	0.000000	31	0.000000	0.000000
