episodeIndex	8
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	44.293996	76	0.582816	5.981607	448.337626	689	0.650708	13.471312	0.328263	0.973153	0.181529	1.119886
1	1	1983.191943	2117	0.936794	22.708306	17539.781397	19100	0.918313	23.003851	0.838285	0.998341	0.801867	1.034760
1	2	67.111781	77	0.871582	16.194021	543.780906	655	0.830200	17.909174	0.448891	1.211509	0.275370	1.385030
1	3	62.178621	78	0.797162	24.285564	535.979926	683	0.784744	17.326638	0.417456	1.152032	0.250315	1.319172
2	0	1.107624	33	0.033564	0.017352	102.518935	257	0.398906	11.990302	-0.099184	0.896997	-0.325848	1.123661
2	1	0.002746	25	0.000110	0.000000	284.866005	236	1.207059	33.330635	0.340445	2.073674	-0.053921	2.468040
2	2	9.124678	20	0.456234	2.192984	120.727946	248	0.486806	11.119829	-0.001490	0.975102	-0.223697	1.197309
2	3	11.584588	32	0.362018	1.848584	340.120800	283	1.201840	33.790063	0.405018	1.998662	0.042412	2.361269
2	4	0.686954	17	0.040409	0.027485	253.209933	241	1.050664	33.785852	0.187250	1.914077	-0.205660	2.306987
2	5	1138.328671	1280	0.889319	25.321997	9708.745168	11186	0.867937	23.293522	0.762707	0.973167	0.714820	1.021054
3	0	0.293247	17	0.017250	0.000564	7.472256	154	0.048521	0.035422	0.013548	0.083495	-0.002368	0.099410
3	1	7.685078	441	0.017426	0.005537	171.341203	4308	0.039773	0.027932	0.033901	0.045645	0.031229	0.048317
3	2	0.237545	19	0.012502	0.000894	2.986750	132	0.022627	0.015997	-0.002759	0.048013	-0.014312	0.059565
3	3	0.124528	10	0.012453	0.000957	5.795148	142	0.040811	0.030277	0.007139	0.074483	-0.008184	0.089806
4	0	0.000000	0	-nan	-nan	0.000000	57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	1	0.000000	0	-nan	-nan	0.000000	1	0.000000	-nan	-nan	-nan	-nan	-nan
4	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
4	3	0.000000	0	-nan	-nan	0.000000	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
