episodeIndex	9
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	18.031103	65	0.277402	2.437084	466.368729	754	0.618526	12.526578	0.326949	0.910103	0.199644	1.037408
1	1	1869.939708	2128	0.878731	20.987512	19409.721105	21228	0.914345	22.800866	0.840207	0.988484	0.807837	1.020853
1	2	47.664780	73	0.652942	14.427159	591.445686	728	0.812425	17.542530	0.461267	1.163584	0.307948	1.316903
1	3	129.179802	78	1.656151	41.452183	665.159728	761	0.874060	19.818084	0.509003	1.239118	0.349615	1.398505
2	0	2.002147	26	0.077006	0.039687	104.521082	283	0.369332	10.897008	-0.074566	0.813230	-0.268376	1.007040
2	1	52.421854	32	1.638183	85.833121	337.287859	268	1.258537	39.321212	0.392036	2.125037	0.013714	2.503359
2	2	32.641714	32	1.020054	29.413264	153.369659	280	0.547749	13.141464	0.057670	1.037827	-0.156303	1.251800
2	3	30.228070	27	1.119558	33.779937	370.348869	310	1.194674	33.680398	0.449032	1.940316	0.123477	2.265870
2	4	23.685050	36	0.657918	11.123138	276.894982	277	0.999621	30.807049	0.245210	1.754032	-0.084173	2.083415
2	5	1142.754555	1231	0.928314	25.687153	10851.499723	12417	0.873923	23.529098	0.775450	0.972396	0.732456	1.015390
3	0	0.225461	19	0.011866	0.000809	7.697717	173	0.044495	0.031726	0.013861	0.075130	0.000486	0.088505
3	1	4.991219	478	0.010442	0.000569	176.332422	4786	0.036843	0.025276	0.031645	0.042042	0.029375	0.044312
3	2	0.220476	18	0.012249	0.000452	3.207225	150	0.021382	0.014128	-0.000572	0.043335	-0.010158	0.052921
3	3	0.190064	19	0.010003	0.000438	5.985212	161	0.037175	0.026830	0.007973	0.066378	-0.004777	0.079128
4	0	0.000000	0	-nan	-nan	0.000000	57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	1	0.000000	0	-nan	-nan	0.000000	1	0.000000	-nan	-nan	-nan	-nan	-nan
4	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
4	3	0.000000	0	-nan	-nan	0.000000	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
