episodeIndex	25
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	57.062945	69	0.826999	12.957204	1745.061871	1931	0.903709	22.297523	0.682396	1.125022	0.604178	1.203240
1	1	2204.682625	2150	1.025434	27.484713	49764.005678	55354	0.899014	22.309144	0.857667	0.940360	0.843054	0.954973
1	2	38.236072	72	0.531057	8.726343	1888.521867	1906	0.990830	26.889925	0.746204	1.235456	0.659746	1.321914
1	3	25.939725	68	0.381467	5.269697	1653.456687	1991	0.830465	21.517052	0.616361	1.044570	0.540691	1.120240
2	0	4.808902	34	0.141438	0.341338	376.877411	758	0.497200	13.830561	0.219001	0.775399	0.120678	0.873722
2	1	3.309567	33	0.100290	0.166789	698.058550	742	0.940780	27.297444	0.545751	1.335809	0.406137	1.475423
2	2	1.511619	27	0.055986	0.048843	451.663207	729	0.619565	15.386864	0.320352	0.918779	0.214602	1.024529
2	3	3.793495	23	0.164935	0.244828	831.531412	743	1.119154	27.903701	0.720031	1.518277	0.578970	1.659338
2	4	5.851063	27	0.216706	0.571210	620.642212	750	0.827523	21.393366	0.479683	1.175362	0.356747	1.298298
2	5	998.406561	1221	0.817696	20.646105	28543.738824	32120	0.888659	24.094941	0.832251	0.945068	0.812314	0.965004
3	0	0.092854	16	0.005803	0.000161	22.955381	448	0.051240	0.041409	0.031439	0.071040	0.024441	0.078038
3	1	23.005937	502	0.045829	0.034464	564.699451	12861	0.043908	0.051562	0.039784	0.048032	0.038327	0.049489
3	2	0.164989	16	0.010312	0.000407	16.545046	403	0.041055	0.032448	0.022574	0.059535	0.016043	0.066067
3	3	1.197647	18	0.066536	0.059778	17.058402	429	0.039763	0.033500	0.021563	0.057963	0.015131	0.064395
4	0	0.000000	0	-nan	-nan	0.000000	57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	1	0.000000	0	-nan	-nan	0.000000	1	0.000000	-nan	-nan	-nan	-nan	-nan
4	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
4	3	0.000000	0	-nan	-nan	0.000000	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
