episodeIndex	52
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	53	0.000000	53	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	0.000000	16	0.000000	0.000000	53	0.000103	932	0.000002	0.000000	17.584906	18.670537	0.000000	-0.000000	0.000000	-0.000000	0.000000
1	1	0.000970	494	0.000002	0.000000	53	258.217338	25361	4.872025	886.190642	478.509434	836.600871	0.010182	-0.006868	0.027809	-0.012425	0.033816
1	2	0.000132	18	0.000007	0.000000	53	0.000202	847	0.000004	0.000000	15.981132	19.595791	0.000000	-0.000000	0.000001	-0.000000	0.000001
1	3	0.000000	17	0.000000	0.000000	53	0.624576	863	0.011784	0.007351	16.283019	12.591437	0.000724	-0.000688	0.002316	-0.001123	0.002892
2	0	82.207702	63	1.304884	34.809314	53	1077.484334	2670	20.329893	650.323787	50.377358	47.124093	0.403552	0.254329	0.564433	0.206983	0.620866
2	1	755.954095	2062	0.366612	10.906748	53	44700.739961	111701	843.410188	6546.279126	2107.566038	3118555.626996	0.400182	0.316438	0.534288	0.295109	0.598878
2	2	31.744544	57	0.556922	17.679229	53	1218.734407	2583	22.994989	760.350169	48.735849	61.621190	0.471829	0.302295	0.657132	0.248967	0.722762
2	3	13.724130	44	0.311912	4.276908	53	1033.191227	2577	19.494174	522.721068	48.622642	33.162554	0.400928	0.262616	0.548584	0.218455	0.600023
2	4	80.620387	53	1.521139	75.006859	53	1137.882772	2525	21.469486	608.426674	47.641509	50.157475	0.450647	0.295675	0.618874	0.246717	0.678168
2	5	4.073702	51	0.079877	0.278877	53	1067.610230	2620	20.143589	750.530865	49.433962	36.750363	0.407485	0.246254	0.580008	0.194852	0.640207
3	0	0.110976	1284	0.000086	0.000001	53	1175.364694	68173	22.176692	2889.465149	1286.283019	1560961.183599	0.017241	0.004504	0.039303	0.001377	0.050740
3	1	0.000003	51	0.000000	0.000000	53	6.349072	2335	0.119794	0.420373	44.056604	47.323657	0.002719	-0.001286	0.007085	-0.002548	0.008628
3	2	0.000006	50	0.000000	0.000000	53	76.632379	2357	1.445894	25.890421	44.471698	56.061684	0.032513	0.000904	0.067201	-0.009014	0.079522
3	3	0.011335	48	0.000236	0.000003	53	13.248142	2480	0.249965	1.106142	46.792453	49.283019	0.005342	-0.000825	0.012042	-0.002772	0.014404
4	0	0.000000	19	0.000000	0.000000	53	0.000017	1159	0.000000	0.000000	21.867925	19.809144	0.000000	0.000000	0.000000	0.000000	0.000000
4	1	0.000000	21	0.000000	0.000000	53	0.000020	1149	0.000000	0.000000	21.679245	14.875907	0.000000	0.000000	0.000000	0.000000	0.000000
4	2	0.000020	614	0.000000	0.000000	53	0.000514	33175	0.000010	0.000000	625.943396	495.131350	0.000000	0.000000	0.000000	0.000000	0.000000
4	3	0.000000	20	0.000000	0.000000	53	0.000014	1159	0.000000	0.000000	21.867925	18.309144	0.000000	0.000000	0.000000	0.000000	0.000000
5	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	11	0.000000	15	0.000000	0.000000	1.363636	0.454545	0.000000	0.000000	0.000000	0.000000	0.000000
5	2	0.000000	0	-nan	-nan	2	0.000000	2	0.000000	0.000000	1.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000
5	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
