episodeIndex	65
epsilon	0.500000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	66	0.000000	66	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	63	179.000000	75	2.841270	50.813108	1.190476	0.156682	2.386667	0.803795	4.260375	0.329590	4.963558
1	1	0.000000	0	-nan	-nan	17	166.000000	22	9.764706	281.191176	1.294118	0.470588	7.545455	0.694069	19.530667	-1.187691	26.781195
2	0	2.000000	1	2.000000	-nan	63	782.000000	116	12.412698	630.084997	1.841270	1.619560	6.741379	2.801560	12.351505	1.737064	14.789156
2	1	100.000000	5	20.000000	130.000000	28	472.000000	43	16.857143	499.978836	1.535714	0.998677	10.976744	4.256803	22.232432	2.500813	28.213881
3	0	115.000000	7	16.428571	148.952381	64	1653.000000	155	25.828125	1222.493800	2.421875	3.422371	10.664516	5.907010	17.679829	4.644621	20.820204
3	1	44.000000	2	22.000000	98.000000	29	883.000000	47	30.448276	3225.399015	1.620690	1.315271	18.787234	4.300357	43.945300	0.591436	57.730412
4	0	76.000000	4	19.000000	198.666667	63	3062.000000	184	48.603175	6904.339990	2.920635	5.945212	16.641304	7.795074	30.226419	5.495319	36.527599
4	1	72.000000	3	24.000000	156.000000	31	998.000000	52	32.193548	1328.627957	1.677419	0.892473	19.192308	9.300397	34.235268	6.618498	41.457102
5	0	168.000000	6	28.000000	132.400000	64	3765.000000	195	58.828125	7474.811260	3.046875	6.775546	19.307692	10.031702	33.649529	7.628300	40.341828
5	1	13.000000	1	13.000000	-nan	34	1950.000000	78	57.352941	5513.144385	2.294118	3.062389	25.000000	10.825762	49.455862	7.239793	62.530336
6	0	120.000000	5	24.000000	186.000000	62	5202.000000	225	83.903226	16644.515071	3.629032	10.040455	23.120000	11.491961	41.412086	8.504650	50.080976
6	1	50.000000	2	25.000000	2.000000	36	2062.000000	73	57.277778	3364.149206	2.027778	1.456349	28.246575	15.456262	47.486629	12.015373	56.494786
7	0	75.000000	3	25.000000	228.000000	64	5907.000000	223	92.296875	18465.862847	3.484375	9.428323	26.488789	13.672176	46.588117	10.374510	56.086899
7	1	68.000000	2	34.000000	162.000000	44	2748.000000	94	62.454545	4604.579281	2.136364	2.260042	29.234043	16.127002	49.475796	12.698170	59.011415
8	0	86.000000	2	43.000000	2.000000	63	6010.000000	215	95.396825	12771.694828	3.412698	7.181772	27.953488	16.328770	45.343986	13.266731	53.226675
8	1	0.000000	0	-nan	-nan	34	2200.000000	79	64.705882	2469.062389	2.323529	1.861854	27.848101	16.919531	44.409399	13.976279	52.257964
9	0	45.000000	1	45.000000	-nan	66	4590.000000	164	69.545455	4724.005594	2.484848	4.038228	27.987805	17.625152	43.529967	14.899080	50.590579
