episodeIndex	55
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	56	0.000000	56	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	209.434925	93	2.251988	0.509959	56	9531.843699	4091	170.211495	488.966519	73.053571	82.124351	2.329954	2.176252	2.494245	2.127216	2.551528
1	1	4951.660038	2106	2.351216	1.102267	56	274413.747841	118638	4900.245497	18123.755902	2118.535714	824.107792	2.313034	2.287658	2.338596	2.279243	2.347154
1	2	199.858267	77	2.595562	2.102781	56	10036.377882	4140	179.221034	509.890214	73.928571	48.212987	2.424246	2.284669	2.571042	2.239676	2.621654
1	3	212.703035	90	2.363367	1.187569	56	9755.436275	4118	174.204219	687.150219	73.535714	92.362338	2.368974	2.196254	2.554253	2.141276	2.619015
2	0	52.890014	21	2.518572	1.800694	56	4457.399375	1565	79.596417	363.491433	27.946429	31.215260	2.848179	2.529345	3.203169	2.430205	3.330562
2	1	81.729109	24	3.405380	8.324197	56	4349.219289	1535	77.664630	406.174363	27.410714	32.828247	2.833368	2.495987	3.210855	2.391398	3.346798
2	2	52.237001	21	2.487476	1.601536	56	4164.471989	1470	74.365571	317.271154	26.250000	29.318182	2.832974	2.511783	3.191815	2.412121	3.320905
2	3	54.809241	17	3.224073	10.199857	56	4531.616679	1494	80.921726	504.022184	26.678571	34.440260	3.033211	2.650833	3.463574	2.532725	3.619219
2	4	59.075579	22	2.685254	3.248384	56	4514.300758	1523	80.612514	435.229748	27.196429	25.724351	2.964085	2.626712	3.337011	2.521335	3.470152
2	5	3499.696233	1184	2.955825	6.369902	56	189180.003387	66096	3378.214346	13427.816867	1180.285714	1943.662338	2.862200	2.807700	2.917805	2.789780	2.936583
3	0	127.713845	15	8.514256	16.224412	56	6588.715447	633	117.655633	1605.280122	11.303571	14.033442	10.408713	8.684808	12.469253	8.171314	13.248180
3	1	99.396565	8	12.424571	10.105591	56	7190.485522	671	128.401527	1250.568078	11.982143	9.617857	10.716074	9.279290	12.367386	8.841146	12.973748
3	2	106.192428	13	8.168648	17.380869	56	6955.118174	648	124.198539	1603.495916	11.571429	13.412987	10.733207	9.036701	12.744710	8.528947	13.500526
3	3	3444.128364	328	10.500391	17.736492	56	196749.709786	18596	3513.387675	208515.795917	332.071429	1531.558442	10.580217	9.898036	11.306965	9.679937	11.559772
4	0	0.000000	0	-nan	-nan	19	292.093768	23	15.373356	90.648003	1.210526	0.508772	12.699729	6.938362	23.031597	5.403425	29.290718
4	1	0.000000	0	-nan	-nan	18	369.820336	27	20.545574	153.134163	1.500000	0.852941	13.697049	7.345471	25.654476	5.674683	33.366466
4	2	23.530810	2	11.765405	0.037319	21	356.205450	26	16.962164	53.937017	1.238095	0.290476	13.700210	9.180864	20.453187	7.885701	23.822135
4	3	136.944543	11	12.449504	1.088741	53	9731.491908	717	183.613055	19896.871138	13.528302	112.292453	13.572513	8.795083	20.984144	7.559329	24.453105
5	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	1	32.837089	3	32.837089	-nan	3.000000	-nan	10.945696	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
