episodeIndex	35
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	36	0.000000	36	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	137.790654	66	2.087737	0.279749	36	5267.536693	2348	146.320464	378.531078	65.222222	68.634921	2.243414	2.054199	2.449625	1.993068	2.524399
1	1	4148.778906	1829	2.268332	0.740890	36	144276.188478	64725	4007.671902	7792.467342	1797.916667	1130.878571	2.229064	2.198538	2.259979	2.188195	2.270634
1	2	127.384321	56	2.274720	0.549121	36	5112.339199	2231	142.009422	431.789353	61.972222	63.513492	2.291501	2.087232	2.514355	2.021282	2.595227
1	3	136.848699	54	2.534235	1.922299	36	5204.486377	2278	144.569066	370.510312	63.277778	56.206349	2.284674	2.097660	2.487308	2.037018	2.560485
2	0	83.297472	29	2.872327	7.679065	36	4013.324032	1474	111.481223	620.955096	40.944444	61.311111	2.722744	2.363866	3.131277	2.251031	3.284147
2	1	76.427176	35	2.183634	0.429859	36	4009.772963	1471	111.382582	513.225760	40.861111	41.437302	2.725882	2.409839	3.077515	2.309054	3.206924
2	2	4788.595195	1657	2.889919	6.659898	36	169311.841671	63691	4703.106713	45965.773051	1769.194444	8654.618254	2.658332	2.571577	2.748230	2.542624	2.779700
2	3	130.647173	36	3.629088	10.670854	36	3929.894687	1450	109.163741	507.117667	40.277778	36.377778	2.710272	2.399525	3.054189	2.300100	3.180279
2	4	73.475347	32	2.296105	2.521865	36	4032.035360	1461	112.000982	510.061782	40.583333	36.707143	2.759778	2.447840	3.104905	2.348015	3.231410
2	5	83.584000	34	2.458353	2.427371	36	3808.574583	1449	105.793738	687.210375	40.250000	61.164286	2.628416	2.259502	3.049251	2.143660	3.206963
3	0	12295.924499	881	13.956781	11.801347	36	454010.753469	32146	12611.409819	2308151.448384	892.944444	10026.625397	14.123398	13.052487	15.278779	12.704278	15.694754
3	1	316.150549	26	12.159636	26.956877	36	15707.341823	1132	436.315051	7601.659021	31.444444	31.568254	13.875744	12.200001	15.767147	11.670354	16.470502
3	2	231.780686	19	12.198983	18.699694	36	15690.501393	1117	435.847261	8987.762021	31.027778	40.827778	14.047002	12.165519	16.210319	11.577572	17.025769
3	3	481.340865	34	14.157084	11.745926	36	15473.784082	1123	429.827336	7408.290395	31.194444	36.903968	13.778971	12.051319	15.750356	11.508924	16.489317
4	0	10750.866993	679	15.833383	0.152750	36	287676.040103	18133	7991.001114	1582115.405143	503.694444	6297.018254	15.864779	14.259735	17.650572	13.747891	18.307790
4	1	490.170093	31	15.811938	0.145371	36	10400.336239	656	288.898229	8013.879686	18.222222	31.777778	15.854171	12.847216	19.564203	11.946254	21.039066
4	2	380.363150	24	15.848465	0.135328	36	9673.443313	608	268.706759	5560.084633	16.888889	21.987302	15.910269	13.178429	19.208584	12.349433	20.498175
4	3	348.574221	22	15.844283	0.099049	36	9865.649942	623	274.045832	5156.078241	17.305556	20.846825	15.835714	13.249060	18.929453	12.459728	20.130446
5	0	0.000000	0	-nan	-nan	1	15.999955	1	15.999955	-nan	1.000000	-nan	15.999955	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	1	655.997703	41	655.997703	-nan	41.000000	-nan	15.999944	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	1	15.999965	1	15.999965	-nan	1.000000	-nan	15.999965	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	1	31.999950	2	31.999950	-nan	2.000000	-nan	15.999975	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
