episodeIndex	15
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	16	0.000000	16	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	111.542968	53	2.104584	0.113826	16	2308.910861	1026	144.306929	388.273091	64.125000	55.583333	2.250400	1.964927	2.573581	1.864350	2.708775
1	1	3952.871662	1811	2.182701	0.558701	16	63700.217762	28649	3981.263610	8022.460518	1790.562500	1320.795833	2.223471	2.173311	2.274728	2.154407	2.294631
1	2	106.500046	53	2.009435	0.003034	16	2204.557680	961	137.784855	410.064992	60.062500	51.262500	2.294025	1.988087	2.641465	1.880514	2.787153
1	3	158.926570	74	2.147656	0.386959	16	2407.431975	1062	150.464498	212.301972	66.375000	30.250000	2.266885	2.058998	2.493979	1.984057	2.586487
2	0	83.754008	34	2.463353	2.594983	16	1897.849459	700	118.615591	778.938255	43.750000	75.000000	2.711214	2.145028	3.410925	1.956027	3.724250
2	1	133.239712	42	3.172374	10.820946	16	1835.767755	651	114.735485	487.212604	40.687500	37.695833	2.819920	2.342487	3.380845	2.178142	3.622227
2	2	4642.110459	1768	2.625628	4.398012	16	75772.373317	28205	4735.773332	39620.597348	1762.812500	7987.762500	2.686487	2.557232	2.822920	2.509574	2.877129
2	3	145.949263	44	3.317029	8.369852	16	1785.119347	654	111.569959	291.846354	40.875000	28.516667	2.729540	2.343676	3.173148	2.209044	3.360894
2	4	79.234314	34	2.330421	1.559927	16	1834.048988	671	114.628062	626.367997	41.937500	32.995833	2.733307	2.251013	3.291545	2.083448	3.529030
2	5	91.780061	41	2.238538	0.557849	16	1778.233309	633	111.139582	1077.072965	39.562500	86.929167	2.809215	2.103082	3.718168	1.872945	4.138875
3	0	11490.835353	812	14.151275	11.511675	16	205660.316219	14578	12853.769764	2902187.491707	911.125000	12501.316667	14.107581	12.306528	16.160658	11.674753	17.023991
3	1	534.317224	39	13.700442	14.951346	16	7108.775043	509	444.298440	4748.292193	31.812500	22.562500	13.966159	11.867715	16.427384	11.144614	17.485130
3	2	361.585673	27	13.392062	16.975587	16	6897.255250	491	431.078453	8214.628026	30.687500	39.695833	14.047363	11.243506	17.540080	10.311948	19.114080
3	3	402.141358	31	12.972302	19.907989	16	7332.416334	542	458.276021	7595.547331	33.875000	36.250000	13.528443	11.105706	16.458099	10.286314	17.747495
4	0	8838.772436	556	15.897073	0.087834	16	124141.055779	7827	7758.815986	1255828.553014	489.187500	4881.495833	15.860618	13.604548	18.488374	12.823768	19.611657
4	1	287.256416	18	15.958690	0.017133	16	4564.018053	288	285.251128	7978.421308	18.000000	31.733333	15.847285	11.315957	22.192405	9.907482	25.346549
4	2	351.101238	22	15.959147	0.023278	16	4134.590924	260	258.411933	6945.670425	16.250000	27.533333	15.902273	11.236074	22.507963	9.794264	25.823212
4	3	238.847015	15	15.923134	0.031085	16	4595.616273	290	287.226017	7141.804478	18.125000	28.916667	15.846953	11.538319	21.773728	10.185889	24.674718
5	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
