episodeIndex	12
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	0.559202	394	0.001419	0.000131	4.272067	4778	0.000894	0.000091	0.000593	0.001195	0.000472	0.001316
1	1	0.190230	19	0.010012	0.000900	0.606458	232	0.002614	0.000263	0.000294	0.004935	-0.000639	0.005867
1	2	0.000000	18	0.000000	0.000000	0.114120	240	0.000475	0.000054	-0.000560	0.001511	-0.000977	0.001928
2	0	169.993395	126	1.349154	53.076124	1905.115830	1628	1.170219	41.838287	0.820934	1.519503	0.680546	1.659891
2	1	3706.438302	2701	1.372247	47.620709	48067.655315	35520	1.353256	46.313662	1.274581	1.431931	1.242959	1.463553
2	2	73.165209	113	0.647480	39.859709	2346.284794	1620	1.448324	48.737344	1.070410	1.826238	0.918515	1.978133
3	0	32.315468	40	0.807887	6.815275	274.009815	474	0.578080	16.324638	0.173734	0.982425	0.011216	1.144943
3	1	1.319938	45	0.029332	0.014459	110.949601	457	0.242778	3.432528	0.053949	0.431607	-0.021947	0.507503
3	2	373.297129	773	0.482920	5.652750	3965.254084	9410	0.421387	8.087930	0.357510	0.485264	0.331836	0.510938
4	0	0.000000	29	0.000000	0.000000	1.394250	310	0.004498	0.000977	0.000629	0.008366	-0.000925	0.009920
4	1	0.036100	17	0.002124	0.000077	0.900581	303	0.002972	0.000523	0.000109	0.005835	-0.001042	0.006986
4	2	3.518991	506	0.006955	0.001609	27.887117	6334	0.004403	0.000979	0.003546	0.005260	0.003202	0.005604
5	0	0.080171	30	0.002672	0.000040	1.111867	440	0.002527	0.000049	0.001801	0.003253	0.001509	0.003545
5	1	0.085059	31	0.002744	0.000049	1.564570	454	0.003446	0.000075	0.002561	0.004332	0.002205	0.004688
5	2	1.816808	731	0.002485	0.000039	31.524199	9865	0.003196	0.000070	0.003012	0.003379	0.002939	0.003452
6	0	0.000000	0	-nan	-nan	0.000000	5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	1	0.000000	1	0.000000	-nan	0.038576	7	0.005511	0.000213	-0.006496	0.017518	-0.011322	0.022344
6	2	0.000000	8	0.000000	0.000000	0.260755	107	0.002437	0.000076	0.000596	0.004278	-0.000144	0.005018
