-nan	-nan
3.02005	4.67966
3.05589	5.01768
3.05567	5.00981
3.05353	5.00442
3.05767	4.99968
3.07903	5.02219
3.07687	5.01686
3.07471	5.01155
3.07257	5.00626
3.0723	4.99863
3.07204	4.99105
3.06992	4.98584
3.07388	4.98131
3.07177	4.97616
3.0757	4.97171
3.07361	4.96662
3.07152	4.96154
3.07126	4.95427
3.07101	4.94705
3.07075	4.93988
3.08045	4.94438
3.07839	4.93945
3.07633	4.93453
3.07606	4.9275
3.07402	4.92263
3.07199	4.91777
3.07174	4.91086
3.07149	4.90399
3.06948	4.89921
3.06748	4.89443
3.06549	4.88967
3.0635	4.88493
3.06153	4.8802
3.05956	4.87548
3.0576	4.87077
3.07539	4.8867
3.09249	4.90364
3.0905	4.89896
3.08851	4.89429
3.08654	4.88964
3.09568	4.89418
3.09371	4.88957
3.09174	4.88497
3.08979	4.88038
3.08949	4.87392
3.09588	4.874
3.09393	4.86948
3.11748	4.89836
3.11551	4.89383
3.1189	4.89019
3.11694	4.88571
3.11657	4.87939
3.12491	4.88341
3.12452	4.87714
3.12258	4.87273
3.12064	4.86834
3.14203	4.89091
3.14007	4.88651
3.13812	4.88213
3.13617	4.87777
3.13576	4.87162
3.13383	4.86728
3.1319	4.86296
3.12999	4.85865
3.12959	4.85262
3.12769	4.84834
3.13605	4.85274
3.13415	4.8485
3.13226	4.84427
3.13038	4.84005
3.13038	4.84005
3.1285	4.83585
3.12811	4.82999
3.12625	4.82581
3.12439	4.82165
3.12254	4.8175
3.1207	4.81336
3.11886	4.80924
3.12709	4.81377
3.12525	4.80967
3.12837	4.80667
3.12654	4.80261
3.12964	4.79966
3.12927	4.79408
3.13164	4.79165
3.12983	4.78767
3.1322	4.78527
3.13039	4.78131
3.1286	4.77736
3.12823	4.77192
3.13616	4.77647
3.13616	4.77647
3.13578	4.77108
3.13539	4.76573
3.13361	4.76187
3.13592	4.7596
3.14084	4.76043
3.14045	4.75516
3.14338	4.75253
3.14298	4.74733
3.14122	4.74356
3.14083	4.73841
3.13907	4.73467
3.13733	4.73095
3.13559	4.72723
3.13522	4.72216
3.16732	5.11307
3.16559	5.10884
3.16386	5.10462
3.16342	5.09853
3.18022	5.11367
3.17974	5.10759
3.17801	5.10342
3.17628	5.09925
3.17456	5.0951
3.17284	5.09096
3.17113	5.08683
3.16942	5.08271
3.16772	5.0786
3.16603	5.0745
3.16434	5.0704
3.1671	5.06651
3.16541	5.06245
3.16498	5.05664
3.1894	5.08491
3.19673	5.08697
3.19503	5.08295
3.19334	5.07893
3.19594	5.07507
3.19852	5.07123
3.19801	5.06554
3.19633	5.0616
3.19466	5.05767
3.19417	5.05205
3.19368	5.04645
3.19202	5.04257
3.19036	5.0387
3.18871	5.03483
3.18706	5.03098
3.18542	5.02713
3.18496	5.02165
3.18333	5.01784
3.1817	5.01403
3.18366	5.01131
3.18204	5.00753
3.18159	5.00215
3.18114	4.99681
3.17953	4.99307
3.17793	4.98933
3.17633	4.9856
3.1759	4.98034
3.17431	4.97664
3.17273	4.97294
3.17115	4.96926
3.17818	4.97177
3.17774	4.96661
3.17617	4.96296
3.17617	4.96296
3.1746	4.95933
3.19924	5.00635
3.19876	5.00116
3.22026	5.02856
3.21866	5.02491
3.21707	5.02127
3.21549	5.01764
3.21783	5.01428
3.22016	5.01094
3.22248	5.00762
3.25872	5.09966
3.26517	5.10129
3.26357	5.09765
3.27526	5.10824
3.28156	5.10968
3.28748	5.112
3.28587	5.10841
3.28426	5.10482
3.28632	5.10122
3.28836	5.09763
3.29451	5.09908
3.29291	5.09555
3.29444	5.0929
3.32154	5.12482
3.33549	5.13679
3.33386	5.13325
3.33223	5.12973
3.3315	5.12461
3.33336	5.12102
3.33263	5.11595
3.33102	5.11248
3.32941	5.10902
3.32781	5.10556
3.32621	5.10211
3.32461	5.09866
3.32391	5.09369
3.32577	5.09026
3.32418	5.08685
3.32348	5.08195
3.32533	5.07857
3.32376	5.07521
3.32517	5.0727
3.3236	5.06935
3.32744	5.06847
3.32588	5.06514
3.32432	5.06182
3.32276	5.0585
3.32121	5.05519
3.32692	5.05672
3.32623	5.05199
3.32804	5.04879
3.32649	5.04553
3.32496	5.04228
3.32496	5.04228
3.32342	5.03903
3.32189	5.03579
3.3253	5.03574
3.32377	5.03252
3.34124	5.05731
3.34256	5.05492
3.35525	5.06639
3.35452	5.06176
3.35298	5.05856
3.35226	5.05397
3.35154	5.04939
3.35002	5.04622
3.34931	5.04168
3.3486	5.03715
3.34789	5.03265
3.34719	5.02817
3.34887	5.02516
3.34736	5.02206
3.34586	5.01896
3.35122	5.02051
3.34973	5.01743
3.35138	5.01449
3.36134	5.02384
3.35985	5.02079
3.35836	5.01775
3.35687	5.01471
3.35616	5.01037
3.35468	5.00735
3.35399	5.00304
3.35399	5.00304
3.35329	4.99875
3.35182	4.99575
3.35306	4.99363
3.35237	4.98938
3.35091	4.98641
3.37121	5.02249
3.36974	5.01951
3.37129	5.01664
3.36983	5.01367
3.36983	5.01367
3.36837	5.01072
3.36766	5.0065
3.41472	5.12869
3.41323	5.12564
3.42266	5.13378
3.42117	5.13075
3.42256	5.12757
3.42177	5.12319
3.42284	5.12088
3.42422	5.11776
3.43403	5.12539
3.44377	5.13296
3.48377	5.19251
3.50619	5.21831
3.50733	5.21494
3.5064	5.21048
3.50487	5.20747
3.506	5.20415
3.50448	5.20116
3.50296	5.19817
3.50144	5.19519
3.50233	5.19281
3.50233	5.19281
3.50082	5.18984
3.49931	5.18687
3.4978	5.18392
3.51146	5.2014
3.50995	5.19844
3.51433	5.19896
3.51341	5.19464
3.52122	5.19966
3.51972	5.19674
3.52882	5.20364
3.52732	5.20073
3.52638	5.19646
3.53541	5.2033
3.53447	5.19905
3.53297	5.19617
3.53147	5.19329
3.53053	5.18907
3.5296	5.18487
3.52867	5.18068
3.52719	5.17784
3.52627	5.17368
3.52479	5.17085
3.52332	5.16803
3.52185	5.16521
3.52094	5.16109
3.51948	5.15828
3.51857	5.15419
3.51962	5.15119
3.51817	5.14841
3.51727	5.14435
3.51809	5.1422
3.5206	5.14195
3.51915	5.13919
3.53027	5.15058
3.52882	5.14783
3.52983	5.14489
3.52892	5.1409
3.52802	5.13693
3.52659	5.13422
3.5257	5.13027
3.52427	5.12757
3.52284	5.12487
3.52196	5.12095
3.53004	5.12797
3.52861	5.12529
3.52939	5.12323
3.52851	5.11935
3.52709	5.11669
3.52621	5.11283
3.54368	5.14163
3.54278	5.13776
3.54137	5.13511
3.53996	5.13247
3.53855	5.12983
3.53715	5.12719
3.53575	5.12456
3.53671	5.12178
3.54065	5.12246
3.53977	5.11866
3.53838	5.11606
3.53699	5.11347
3.5356	5.11088
3.53473	5.10712
3.53865	5.10784
3.53959	5.10514
3.53821	5.10258
3.5421	5.1033
3.54072	5.10075
3.54165	5.09809
3.5501	5.10469
3.54872	5.10215
3.54784	5.09848
3.55166	5.0992
3.55078	5.09555
3.54942	5.09305
3.55321	5.09377
3.55185	5.09128
3.55049	5.08879
3.54913	5.08631
3.54778	5.08382
3.54643	5.08135
3.54884	5.08056
3.54749	5.07809
3.55126	5.07886
3.54991	5.0764
3.54857	5.07395
3.55081	5.07384
3.54947	5.0714
3.55624	5.07603
3.5549	5.07359
3.55356	5.07116
3.55443	5.06867
3.56183	5.07519
3.56049	5.07278
3.55916	5.07036
3.55783	5.06796
3.5615	5.06873
3.56063	5.06527
3.55931	5.06287
3.56016	5.06043
3.5593	5.057
3.55798	5.05463
3.55667	5.05226
3.55582	5.04886
3.55451	5.0465
3.56491	5.05644
3.57006	5.0592
3.56919	5.05581
3.59171	5.09104
3.59082	5.08762
3.58951	5.08526
3.59171	5.0845
3.5904	5.08215
3.58909	5.07981
3.60476	5.09925
3.60344	5.09691
3.60212	5.09457
3.60123	5.09118
3.59991	5.08885
3.60065	5.08642
3.59976	5.08306
3.59887	5.07972
3.60228	5.08038
3.6014	5.07706
3.6001	5.07476
3.6003	5.07403
3.599	5.07174
3.59958	5.07003
3.59829	5.06775
3.597	5.06548
3.59613	5.0622
3.59485	5.05993
3.59398	5.05667
3.59311	5.05342
3.59184	5.05117
3.59056	5.04892
3.58929	5.04667
3.58802	5.04443
3.58675	5.04219
3.59027	5.04319
3.589	5.04096
3.58774	5.03873
3.58648	5.0365
3.58522	5.03428
3.58396	5.03206
3.58271	5.02984
3.58607	5.03065
3.58482	5.02844
3.58398	5.02528
3.58457	5.02369
3.58374	5.02055
3.58249	5.01836
3.58125	5.01617
3.58125	5.01617
3.58001	5.01399
3.57878	5.01181
3.57795	5.00871
3.57672	5.00653
3.59187	5.02784
3.59064	5.02567
3.5898	5.02256
3.58857	5.0204
3.58774	5.01731
3.58651	5.01515
3.58529	5.01299
3.58446	5.00993
3.58324	5.00778
3.58382	5.00624
3.5826	5.00411
3.58139	5.00197
3.58017	4.99984
3.57896	4.99771
3.57775	4.99558
3.57654	4.99345
3.57534	4.99133
3.57592	4.98983
3.57512	4.98683
3.57586	4.98479
3.57466	4.98269
3.57347	4.98058
3.57227	4.97849
3.57108	4.97639
3.57167	4.97493
3.57048	4.97284
3.56929	4.97075
3.5685	4.96781
3.58829	4.99798
3.58748	4.99502
3.58629	4.99293
3.58511	4.99085
3.58431	4.9879
3.58312	4.98582
3.58233	4.98289
3.58304	4.9809
3.58186	4.97884
3.58107	4.97593
3.57989	4.97387
3.57872	4.97182
3.57755	4.96978
3.57638	4.96773
3.57521	4.96569
3.58904	4.98137
3.58787	4.97932
3.58707	4.97643
3.5859	4.9744
3.58474	4.97236
3.58357	4.97033
3.58427	4.9684
3.58482	4.96699
3.58404	4.96414
3.58288	4.96213
3.58173	4.96012
3.59358	4.97243
3.59425	4.97051
3.59346	4.96768
3.59267	4.96485
3.62157	5.02864
3.6204	5.02661
3.61924	5.02458
3.62238	5.02551
3.62122	5.02349
3.63527	5.04547
3.63411	5.04345
3.63294	5.04142
3.64282	5.0537
3.64165	5.05167
3.64049	5.04965
3.63933	5.04764
3.64696	5.05436
3.6458	5.05235
3.64496	5.04947
3.6438	5.04747
3.64297	5.04461
3.64182	5.04261
3.64067	5.04061
3.63984	5.03777
3.63869	5.03578
3.65178	5.05035
3.65094	5.0475
3.65381	5.04811
3.65266	5.04613
3.65151	5.04415
3.66391	5.05882
3.67625	5.07338
3.67539	5.07054
3.67424	5.06856
3.68161	5.07503
3.6892	5.08161
3.69208	5.08237
3.69615	5.08454
3.69499	5.08258
3.69383	5.08062
3.70315	5.0921
3.702	5.09014
3.70244	5.08809
3.70128	5.08614
3.70013	5.08419
3.74232	5.22789
3.74115	5.22586
3.74024	5.22289
3.73932	5.21992
3.73816	5.2179
3.73854	5.21561
3.73763	5.21266
3.73647	5.21065
3.73906	5.21074
3.7379	5.20874
3.737	5.20582
3.7361	5.20291
3.73495	5.20092
3.73381	5.19893
3.74359	5.20914
3.74244	5.20715
3.74129	5.20517
3.74166	5.20294
3.74051	5.20096
3.73937	5.19899
3.73974	5.19677
3.7386	5.19481
3.73746	5.19285
3.74442	5.19858
3.74937	5.20178
3.74823	5.19982
3.74823	5.19982
3.74709	5.19787
3.74595	5.19591
3.74482	5.19396
3.74369	5.19202
3.74256	5.19007
3.74167	5.18724
3.74054	5.1853
3.73941	5.18336
3.73829	5.18143
3.73717	5.1795
3.73753	5.17735
3.73641	5.17543
3.7353	5.1735
3.73442	5.17072
3.73331	5.1688
3.7322	5.16688
3.7347	5.16708
3.73359	5.16517
3.73248	5.16326
3.73736	5.16647
3.73985	5.16666
3.73874	5.16477
3.73763	5.16287
3.73653	5.16098
3.73566	5.15824
3.73456	5.15636
3.73346	5.15447
3.73383	5.15242
3.73273	5.15054
3.7331	5.14849
3.732	5.14662
3.73447	5.14686
3.74326	5.15526
3.7424	5.15257
3.74154	5.14987
3.74069	5.14719
3.7396	5.14534
3.73874	5.14267
3.74132	5.14322
3.7461	5.14687
3.74501	5.14503
3.74392	5.14319
3.74307	5.14054
3.74222	5.13789
3.74114	5.13606
3.74029	5.13342
3.73944	5.13079
3.7386	5.12816
3.73752	5.12635
3.73645	5.12453
3.73538	5.12272
3.73431	5.12091
3.73778	5.1225
3.7392	5.12236
3.73954	5.12042
3.73848	5.11863
3.73882	5.1167
3.73776	5.11491
3.73811	5.113
3.7486	5.12394
3.74754	5.12215
3.7467	5.11958
3.74563	5.1178
3.7448	5.11524
3.74374	5.11346
3.74291	5.11091
3.74185	5.10914
3.74102	5.1066
3.73997	5.10483
3.73914	5.1023
3.73832	5.09978
3.73727	5.09802
3.73622	5.09627
3.74064	5.09916
3.73959	5.09741
3.73877	5.0949
3.74418	5.09908
3.74336	5.09658
3.74232	5.09484
3.74372	5.09422
3.74405	5.0924
3.74323	5.08992
3.7422	5.08819
3.74253	5.08638
3.74172	5.08392
3.76449	5.12231
3.76345	5.12058
3.76261	5.11809
3.76158	5.11637
3.76054	5.11465
3.7595	5.11292
3.75847	5.1112
3.7598	5.11108
3.75877	5.10936
3.75907	5.10753
3.75825	5.10508
3.75722	5.10337
3.75729	5.10281
3.75626	5.1011
3.76479	5.10948
3.77099	5.11475
3.76996	5.11305
3.76893	5.11134
3.7679	5.10964
3.77685	5.12036
3.77602	5.11791
3.77519	5.11547
3.77416	5.11378
3.77314	5.11209
3.77211	5.1104
3.77109	5.10872
3.77027	5.1063
3.76925	5.10462
3.76823	5.10294
3.76722	5.10126
3.7662	5.09958
3.7662	5.09958
3.76519	5.0979
3.76438	5.09551
3.76356	5.09311
3.76255	5.09145
