episodeIndex	10
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	2214.106987	1089	2.033156	72.510002	23327.641869	12366	1.886434	67.201607	1.722179	2.050689	1.652801	2.120067
1	1	19.914275	76	0.262030	2.610531	1423.067309	805	1.767785	69.133881	1.114821	2.420750	0.839018	2.696553
2	0	66.772578	37	1.804664	81.597841	993.026405	460	2.158753	76.767579	1.248521	3.068985	0.864052	3.453455
2	1	25.435958	43	0.591534	9.053014	714.204825	514	1.389504	41.811876	0.754011	2.024996	0.485588	2.293419
2	2	1807.298022	914	1.977350	73.904797	19148.488751	10780	1.776298	65.565479	1.602529	1.950066	1.529132	2.023463
3	0	5.063059	35	0.144659	0.732416	36.940487	301	0.122726	0.580523	0.024874	0.220578	-0.016457	0.261909
3	1	52.765206	672	0.078520	0.409840	494.796145	6671	0.074171	0.370947	0.057556	0.090786	0.050538	0.097804
3	2	0.000000	38	0.000000	0.000000	9.931380	298	0.033327	0.166573	-0.019352	0.086006	-0.041603	0.108256
4	0	56.279544	798	0.070526	0.301697	532.031641	8239	0.064575	0.274783	0.051707	0.077442	0.046272	0.082878
4	1	0.000000	44	0.000000	0.000000	44.148706	545	0.081007	0.359433	0.023786	0.138227	-0.000383	0.162397
5	0	214.961281	1666	0.129028	0.259686	2218.823770	18634	0.119074	0.239745	0.111082	0.127066	0.107706	0.130442
5	1	9.790271	105	0.093241	0.144923	139.374452	1268	0.109917	0.209977	0.081244	0.138589	0.069133	0.150700
6	0	22.929448	162	0.141540	0.031700	260.307238	1535	0.169581	0.037120	0.158624	0.180538	0.153996	0.185166
6	1	0.171371	4	0.042843	0.007342	16.321021	90	0.181345	0.034682	0.137605	0.225084	0.119130	0.243559
