episodeIndex	3
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	0.000000	230	0.000000	0.000000	0.013795	916	0.000015	0.000000	0.000002	0.000028	-0.000008	0.000038
1	1	0.000000	16	0.000000	0.000000	0.000000	60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0	1817.152749	1468	1.237842	38.889696	7327.985645	5784	1.266941	40.588935	1.000347	1.533535	0.777647	1.756235
2	1	96.536729	86	1.122520	20.214329	662.315777	389	1.702611	60.734593	0.445122	2.960101	-0.605324	4.010547
3	0	125.701213	153	0.821577	22.548622	477.345474	536	0.890570	23.728756	0.220969	1.560171	-0.338384	2.119524
3	1	2280.460202	1965	1.160540	40.850929	8715.093355	7295	1.194667	40.578880	0.957312	1.432022	0.759037	1.630297
4	0	0.473858	43	0.011020	0.002068	7.565533	187	0.040457	0.017102	0.010023	0.070891	-0.015400	0.096314
4	1	2.732027	636	0.004296	0.000581	70.983780	2626	0.027031	0.009586	0.020951	0.033112	0.015871	0.038191
5	0	0.474311	56	0.008470	0.000518	1.206674	229	0.005269	0.000277	0.001766	0.008772	-0.001160	0.011699
5	1	5.108910	765	0.006678	0.000399	24.081968	3187	0.007556	0.000794	0.005968	0.009145	0.004641	0.010472
6	0	0.000000	10	0.000000	0.000000	0.000000	29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	1	0.000000	84	0.000000	0.000000	0.000000	387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
7	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
8	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
8	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
9	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
9	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
