episodeIndex	25
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	0.729803	323	0.002259	0.000231	11.411561	8296	0.001376	0.000145	0.001103	0.001648	0.001007	0.001744
1	1	0.108953	27	0.004035	0.000440	1.388338	584	0.002377	0.000250	0.001031	0.003724	0.000555	0.004199
2	0	233.312732	155	1.505243	41.234438	4632.018234	3510	1.319663	43.749355	1.089730	1.549597	1.008465	1.630862
2	1	3497.971105	2836	1.233417	42.945903	94086.263454	75558	1.245219	42.530385	1.196356	1.294082	1.179087	1.311351
2	2	217.489991	129	1.685969	66.253350	3799.569445	3445	1.102923	36.901996	0.889766	1.316080	0.814430	1.391416
3	0	23.366267	48	0.486797	9.461462	492.881452	1048	0.470307	15.773006	0.217641	0.722973	0.128342	0.812272
3	1	41.598471	43	0.967406	29.601412	380.480061	964	0.394689	9.884858	0.186136	0.603242	0.112427	0.676950
3	2	333.092838	837	0.397960	8.432866	9778.861675	21583	0.453082	12.229867	0.404056	0.502108	0.386729	0.519435
4	0	1.560366	43	0.036288	0.012297	15.577601	893	0.017444	0.004871	0.012634	0.022254	0.010934	0.023954
4	1	6.277835	531	0.011823	0.004358	259.211532	13000	0.019939	0.006088	0.018530	0.021349	0.018032	0.021847
5	0	1.540966	34	0.045323	0.010737	14.771329	935	0.015798	0.003486	0.011821	0.019775	0.010416	0.021181
5	1	15.494670	524	0.029570	0.007631	247.437318	14030	0.017636	0.004113	0.016521	0.018751	0.016127	0.019146
6	0	0.000000	0	-nan	-nan	0.000000	1	0.000000	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
