episodeIndex	653
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	654	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	1841.000000	865	2.128324	7.280968	1.944047	2.312601	1.882647	2.374000
1	1	0.000000	0	-nan	-nan	181.000000	41	4.414634	15.248780	3.189707	5.639561	2.781572	6.047696
2	0	2.000000	1	2.000000	-nan	5350.000000	1201	4.454621	17.456481	4.212467	4.696775	4.131784	4.777459
2	1	0.000000	0	-nan	-nan	566.000000	83	6.819277	29.954746	5.612635	8.025919	5.210593	8.427961
3	0	3.000000	1	3.000000	-nan	9340.000000	1358	6.877761	28.668908	6.585924	7.169598	6.488687	7.266836
3	1	0.000000	0	-nan	-nan	869.000000	95	9.147368	32.531243	7.972002	10.322734	7.580381	10.714356
4	0	4.000000	1	4.000000	-nan	13300.000000	1425	9.333333	39.737828	8.997921	9.668746	8.886164	9.780502
4	1	0.000000	0	-nan	-nan	1052.000000	97	10.845361	37.736254	9.592571	12.098150	9.175153	12.515569
5	0	5.000000	1	5.000000	-nan	16166.000000	1404	11.514245	48.964159	11.139151	11.889339	11.014173	12.014317
5	1	0.000000	0	-nan	-nan	1383.000000	103	13.427184	49.462783	12.035293	14.819076	11.571528	15.282841
6	0	6.000000	1	6.000000	-nan	19184.000000	1392	13.781609	56.619417	13.376523	14.186696	13.241552	14.321667
6	1	8.000000	1	8.000000	-nan	1480.000000	98	15.102041	55.597728	13.589176	16.614905	13.085103	17.118979
7	0	16.000000	2	8.000000	2.000000	22349.000000	1409	15.861604	61.424725	15.442231	16.280977	15.302499	16.420709
7	1	0.000000	0	-nan	-nan	1584.000000	82	19.317073	83.799458	17.286595	21.347551	16.610058	22.024088
8	0	22.000000	2	11.000000	2.000000	24876.000000	1393	17.857861	67.287253	17.416417	18.299305	17.269332	18.446390
8	1	0.000000	0	-nan	-nan	1898.000000	91	20.857143	74.057143	19.045188	22.669098	18.441461	23.272825
9	0	24.000000	2	12.000000	2.000000	20427.000000	1077	18.966574	68.511893	18.459980	19.473167	18.291188	19.641960
