2	1	16.000000	3	5.333333	9.333333	1	16.000000	3	16.000000	-nan	3.000000	-nan	5.333333	-nan	-nan	-nan	-nan
2	1	38.000000	2	19.000000	450.000000	42	3204.000000	183	76.285714	9344.696864	4.357143	8.527875	17.508197	8.764092	30.869052	6.457193	37.126710
2	1	0.000000	0	-nan	-nan	42	3204.000000	183	76.285714	9344.696864	4.357143	8.527875	17.508197	8.764092	30.869052	6.457193	37.126710
2	1	14.000000	2	7.000000	2.000000	43	3218.000000	185	74.837209	9212.425249	4.302326	8.454042	17.394595	8.716030	30.631202	6.428037	36.809073
2	1	18.000000	3	6.000000	4.000000	44	3236.000000	188	73.545455	9071.602537	4.272727	8.295983	17.212766	8.660603	30.174049	6.402226	36.178853
2	1	24.000000	4	6.000000	13.333333	45	3260.000000	192	72.444444	8919.979798	4.266667	8.109091	16.979167	8.603700	29.555838	6.384923	35.325485
2	1	62.000000	7	8.857143	27.809524	46	3322.000000	199	72.217391	8724.129469	4.326087	8.091304	16.693467	8.602164	28.711316	6.449766	34.163444
2	1	2.000000	1	2.000000	-nan	47	3324.000000	200	70.723404	8639.378353	4.255319	8.150786	16.620000	8.526986	28.683635	6.380960	34.165150
2	1	42.000000	5	8.400000	22.800000	48	3366.000000	205	70.125000	8472.750000	4.270833	7.988918	16.419512	8.523365	28.072367	6.421535	33.313668
2	1	70.000000	6	11.666667	43.866667	49	3436.000000	211	70.122449	8296.234694	4.306122	7.883503	16.284360	8.598388	27.512753	6.544387	32.512210
2	1	2.000000	1	2.000000	-nan	50	3438.000000	212	68.760000	8219.737143	4.240000	7.941224	16.216981	8.529066	27.485474	6.480475	32.510268
2	1	14.000000	2	7.000000	2.000000	51	3452.000000	214	67.686275	8114.139608	4.196078	7.880784	16.130841	8.494659	27.306830	6.460614	32.277523
2	1	8.000000	2	4.000000	8.000000	52	3460.000000	216	66.538462	8023.547511	4.153846	7.819005	16.018519	8.431219	27.107718	6.408766	32.033999
2	1	90.000000	6	15.000000	378.800000	53	3550.000000	222	66.981132	7879.634253	4.188679	7.732946	15.990991	8.573727	26.734707	6.587408	31.470988
2	1	62.000000	5	12.400000	38.800000	54	3612.000000	227	66.888889	7731.421384	4.203704	7.599231	15.911894	8.645102	26.352624	6.690864	30.923707
2	1	2.000000	1	2.000000	-nan	55	3614.000000	228	65.709091	7664.802694	4.145455	7.645118	15.850877	8.580968	26.326387	6.628837	30.923986
2	1	2.000000	1	2.000000	-nan	56	3616.000000	229	64.571429	7597.922078	4.089286	7.682792	15.790393	8.519247	26.295573	6.569476	30.916627
2	1	36.000000	4	9.000000	46.666667	57	3652.000000	233	64.070175	7476.566416	4.087719	7.545739	15.673820	8.522629	25.938629	6.598521	30.429050
2	1	12.000000	3	4.000000	4.000000	58	3664.000000	236	63.172414	7392.145191	4.068966	7.433757	15.525424	8.457940	25.627072	6.552133	30.030261
2	1	12.000000	3	4.000000	4.000000	59	3676.000000	239	62.305085	7309.077732	4.050847	7.324956	15.380753	8.395238	25.323848	6.507435	29.642763
2	1	2.000000	1	2.000000	-nan	60	3678.000000	240	61.300000	7245.806780	4.000000	7.355932	15.325000	8.340448	25.289537	6.455170	29.626138
2	1	14.000000	2	7.000000	2.000000	61	3692.000000	242	60.524590	7161.720219	3.967213	7.298907	15.256198	8.314275	25.145853	6.439108	29.444708
2	1	58.000000	6	9.666667	31.066667	62	3750.000000	248	60.483871	7044.417768	4.000000	7.245902	15.120968	8.337329	24.716250	6.498022	28.862135
2	1	250.000000	9	27.777778	98.444444	63	4000.000000	257	63.492063	7500.899130	4.079365	7.525858	15.564202	8.709521	25.230339	6.847952	29.396138
2	1	20.000000	4	5.000000	6.666667	64	4020.000000	261	62.812500	7411.392857	4.078125	7.406498	15.402299	8.652488	24.869194	6.814149	28.930719
2	1	150.000000	8	18.750000	223.928571	65	4170.000000	269	64.153846	7412.538462	4.138462	7.527404	15.501859	8.856243	24.776985	7.041563	28.740004
2	1	0.000000	0	-nan	-nan	65	4170.000000	269	64.153846	7412.538462	4.138462	7.527404	15.501859	8.856243	24.776985	7.041563	28.740004
2	1	0.000000	0	-nan	-nan	65	4170.000000	269	64.153846	7412.538462	4.138462	7.527404	15.501859	8.856243	24.776985	7.041563	28.740004
2	1	30.000000	3	10.000000	52.000000	66	4200.000000	272	63.636364	7316.173427	4.121212	7.431235	15.441176	8.860778	24.594660	7.060711	28.494871
2	1	20.000000	4	5.000000	6.666667	67	4220.000000	276	62.985075	7233.742198	4.119403	7.318860	15.289855	8.804633	24.266836	7.025956	28.076343
2	1	18.000000	2	9.000000	2.000000	68	4238.000000	278	62.323529	7155.535558	4.088235	7.275680	15.244604	8.791877	24.168430	7.021245	27.952515
2	1	574.000000	18	31.888889	356.457516	69	4812.000000	296	69.739130	10844.695652	4.289855	9.973572	16.256757	8.817348	26.918304	6.814032	31.576005
2	1	76.000000	7	10.857143	55.809524	70	4888.000000	303	69.828571	10688.086128	4.328571	9.933954	16.132013	8.851035	26.497705	6.883587	31.000925
2	1	2.000000	1	2.000000	-nan	71	4890.000000	304	68.873239	10600.197988	4.281690	9.948089	16.085526	8.807160	26.464401	6.842095	30.979548
2	1	2.000000	1	2.000000	-nan	72	4892.000000	305	67.944444	10513.010955	4.236111	9.957551	16.039344	8.764436	26.429064	6.801866	30.954729
2	1	2.000000	1	2.000000	-nan	73	4894.000000	306	67.041096	10426.567732	4.191781	9.962709	15.993464	8.722806	26.391828	6.762834	30.926680
2	1	8.000000	1	8.000000	-nan	74	4902.000000	307	66.243243	10330.844132	4.148649	9.963902	15.967427	8.701175	26.373198	6.743738	30.916341
2	1	2.000000	1	2.000000	-nan	75	4904.000000	308	65.386667	10246.267387	4.106667	9.961441	15.922078	8.661461	26.332535	6.706793	30.882444
2	1	6.000000	2	3.000000	2.000000	76	4910.000000	310	64.605263	10156.055439	4.078947	9.887018	15.838710	8.616069	26.181026	6.670283	30.696096
2	1	38.000000	5	7.600000	14.800000	77	4948.000000	315	64.259740	10031.615858	4.090909	9.767943	15.707937	8.599956	25.828757	6.679396	30.226116
2	1	2.000000	1	2.000000	-nan	78	4950.000000	316	63.461538	9951.030969	4.051282	9.763570	15.664557	8.562709	25.787827	6.644916	30.190351
2	1	132.000000	3	44.000000	1324.000000	79	5082.000000	319	64.329114	9882.915936	4.037975	9.652386	15.931034	8.831906	26.018375	6.911657	30.393565
2	1	14.000000	3	4.666667	9.333333	80	5096.000000	322	63.700000	9789.478481	4.025000	9.543671	15.826087	8.790748	25.791671	6.884634	30.102739
2	1	2.000000	1	2.000000	-nan	81	5098.000000	323	62.938272	9714.108642	3.987654	9.537346	15.783282	8.754203	25.749848	6.850775	30.064923
2	1	16.000000	3	5.333333	17.333333	82	5114.000000	326	62.365854	9621.049684	3.975610	9.431497	15.687117	8.720445	25.534796	6.830854	29.787381
2	1	6.000000	1	6.000000	-nan	83	5120.000000	327	61.686747	9541.998237	3.939759	9.423156	15.657492	8.697162	25.505100	6.810190	29.760877
2	1	24.000000	3	8.000000	4.000000	84	5144.000000	330	61.238095	9443.942628	3.928571	9.320138	15.587879	8.687312	25.321250	6.813538	29.516936
2	1	42.000000	6	7.000000	14.000000	85	5186.000000	336	61.011765	9335.868908	3.952941	9.259664	15.434524	8.657451	24.942765	6.812006	29.023143
2	1	144.000000	4	36.000000	1282.666667	86	5330.000000	340	61.976744	9306.117100	3.953488	9.150752	15.676471	8.914244	25.125234	7.068853	29.166317
2	1	36.000000	5	7.200000	17.200000	87	5366.000000	345	61.678161	9205.662657	3.965517	9.056937	15.553623	8.890520	24.819983	7.067602	28.767523
2	1	50.000000	4	12.500000	291.666667	88	5416.000000	349	61.545455	9101.400209	3.965909	8.952847	15.518625	8.926132	24.651380	7.118806	28.529552
2	1	114.000000	10	11.400000	44.488889	89	5530.000000	359	62.134831	9028.890705	4.033708	9.260215	15.403900	8.950863	24.326559	7.179977	28.109589
2	1	0.000000	0	-nan	-nan	89	5530.000000	359	62.134831	9028.890705	4.033708	9.260215	15.403900	8.950863	24.326559	7.179977	28.109589
2	1	6.000000	2	3.000000	2.000000	90	5536.000000	361	61.511111	8962.454931	4.011111	9.202122	15.335180	8.911283	24.208442	7.147426	27.967343
2	1	34.000000	5	6.800000	21.200000	91	5570.000000	366	61.208791	8871.189255	4.021978	9.110623	15.218579	8.884000	23.930774	7.140638	27.608329
2	1	2.000000	1	2.000000	-nan	92	5572.000000	367	60.565217	8811.808887	3.989130	9.109771	15.182561	8.852292	23.896432	7.110932	27.577339
2	1	2.000000	1	2.000000	-nan	93	5574.000000	368	59.935484	8752.908836	3.956989	9.106826	15.146739	8.821166	23.861297	7.081865	27.544986
2	1	174.000000	10	17.400000	74.711111	94	5748.000000	378	61.148936	8797.203386	4.021277	9.397392	15.206349	8.959384	23.796520	7.239971	27.422037
