episodeIndex	0
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	1	0.000000	-nan
1	0	20.360999	6	3.393500	4.538683	20.360999	6	3.393500	4.538683
1	1	275.632322	74	3.724761	4.545641	275.632322	74	3.724761	4.545641
2	0	137.655420	699	0.196932	0.439722	137.655420	699	0.196932	0.439722
2	1	4.089244	44	0.092937	0.076705	4.089244	44	0.092937	0.076705
3	0	2.597950	42	0.061856	0.046664	2.597950	42	0.061856	0.046664
3	1	50.243553	720	0.069783	0.213550	50.243553	720	0.069783	0.213550
4	0	278.032269	28	9.929724	581.412080	278.032269	28	9.929724	581.412080
4	1	7996.167119	400	19.990418	1976.214379	7996.167119	400	19.990418	1976.214379
5	0	1848.100971	28	66.003606	14684.036068	1848.100971	28	66.003606	14684.036068
5	1	27262.615697	433	62.962161	19443.347827	27262.615697	433	62.962161	19443.347827
6	0	13.916461	3	4.638820	64.555956	13.916461	3	4.638820	64.555956
6	1	510.587995	58	8.803241	48.563394	510.587995	58	8.803241	48.563394
