episodeIndex	23
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	24	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	103.000000	39	2.641026	8.183536	1.693422	3.588630	1.355050	3.927001
1	1	0.000000	0	-nan	-nan	4.000000	2	2.000000	2.000000	-0.068658	4.068658	-0.807336	4.807336
2	0	2.000000	1	2.000000	-nan	188.000000	47	4.000000	8.695652	3.110203	4.889797	2.792474	5.207526
2	1	0.000000	0	-nan	-nan	46.000000	7	6.571429	14.285714	3.616203	9.526654	2.560949	10.581909
3	0	8.000000	2	4.000000	2.000000	235.000000	41	5.731707	9.351220	4.743767	6.719648	4.390992	7.072423
3	1	0.000000	0	-nan	-nan	10.000000	2	5.000000	8.000000	0.862684	9.137316	-0.614672	10.614672
4	0	10.000000	2	5.000000	2.000000	330.000000	39	8.461538	21.781377	6.915576	10.007501	6.363542	10.559535
4	1	0.000000	0	-nan	-nan	6.000000	1	6.000000	-nan	-nan	-nan	-nan	-nan
5	0	18.000000	2	9.000000	8.000000	528.000000	48	11.000000	20.085106	9.661849	12.338151	9.184021	12.815979
5	1	0.000000	0	-nan	-nan	54.000000	6	9.000000	16.000000	5.621896	12.378104	4.415640	13.584360
6	0	30.000000	3	10.000000	4.000000	822.000000	65	12.646154	24.263462	11.382266	13.910041	10.930956	14.361351
6	1	0.000000	0	-nan	-nan	76.000000	5	15.200000	17.200000	11.363211	19.036789	9.993167	20.406833
7	0	22.000000	2	11.000000	8.000000	921.000000	63	14.619048	26.949309	13.266065	15.972030	12.782941	16.455154
7	1	0.000000	0	-nan	-nan	13.000000	1	13.000000	-nan	-nan	-nan	-nan	-nan
8	0	48.000000	3	16.000000	4.000000	884.000000	54	16.370370	22.954577	15.021636	17.719105	14.540029	18.200712
8	1	0.000000	0	-nan	-nan	28.000000	2	14.000000	8.000000	9.862684	18.137316	8.385328	19.614672
9	0	51.000000	3	17.000000	4.000000	756.000000	42	18.000000	20.926829	16.539788	19.460212	16.018375	19.981625
