episodeIndex	0
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	1	0.000000	-nan
1	0	1973.601948	1165	1.694079	52.417474	1973.601948	1165	1.694079	52.417474
1	1	128.772844	65	1.981121	112.118462	128.772844	65	1.981121	112.118462
2	0	177.510394	44	4.034327	227.778923	177.510394	44	4.034327	227.778923
2	1	7.249049	43	0.168583	1.220573	7.249049	43	0.168583	1.220573
2	2	1836.168145	1085	1.692321	65.904655	1836.168145	1085	1.692321	65.904655
3	0	5.046941	28	0.180248	0.908343	5.046941	28	0.180248	0.908343
3	1	41.850412	541	0.077358	0.399876	41.850412	541	0.077358	0.399876
3	2	0.000000	17	0.000000	0.000000	0.000000	17	0.000000	0.000000
4	0	64.830757	782	0.082904	0.352948	64.830757	782	0.082904	0.352948
4	1	0.008668	40	0.000217	0.000001	0.008668	40	0.000217	0.000001
5	0	211.240296	1633	0.129357	0.250578	211.240296	1633	0.129357	0.250578
5	1	11.088833	122	0.090892	0.170413	11.088833	122	0.090892	0.170413
6	0	17.768917	81	0.219369	0.027452	17.768917	81	0.219369	0.027452
6	1	2.814796	9	0.312755	0.058315	2.814796	9	0.312755	0.058315
