episodeIndex	131
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	331.000000	171	1.935673	4.813485	1.598683	2.272662	1.486401	2.384944
1	1	0.000000	0	-nan	-nan	43.000000	11	3.909091	9.090909	2.083128	5.735054	1.474734	6.343448
2	0	6.000000	2	3.000000	2.000000	1004.000000	233	4.309013	19.490306	3.728093	4.889932	3.534536	5.083490
2	1	0.000000	0	-nan	-nan	114.000000	22	5.181818	8.251082	3.951751	6.411885	3.541904	6.821732
3	0	26.000000	4	6.500000	11.666667	1520.000000	242	6.280992	28.974658	5.585990	6.975994	5.354421	7.207562
3	1	0.000000	0	-nan	-nan	172.000000	24	7.166667	17.362319	5.458293	8.875040	4.889078	9.444255
4	0	26.000000	3	8.666667	9.333333	1942.000000	240	8.091667	27.857671	7.407359	8.775974	7.179354	9.003979
4	1	10.000000	1	10.000000	-nan	146.000000	16	9.125000	50.116667	5.570196	12.679804	4.385767	13.864233
5	0	22.000000	2	11.000000	8.000000	2822.000000	270	10.451852	35.177971	9.726852	11.176852	9.485288	11.418416
5	1	0.000000	0	-nan	-nan	186.000000	16	11.625000	30.250000	8.863231	14.386769	7.943035	15.306965
6	0	14.000000	1	14.000000	-nan	4172.000000	319	13.078370	48.015851	12.299111	13.857628	12.039469	14.117270
6	1	0.000000	0	-nan	-nan	308.000000	18	17.111111	67.398693	13.224473	20.997749	11.929480	22.292742
7	0	15.000000	1	15.000000	-nan	4764.000000	312	15.269231	57.213455	14.409116	16.129345	14.122533	16.415928
7	1	21.000000	1	21.000000	-nan	303.000000	21	14.428571	18.857143	12.525247	16.331896	11.891076	16.966067
8	0	58.000000	3	19.333333	9.333333	4970.000000	296	16.790541	50.613605	15.959978	17.621103	15.683242	17.897839
8	1	18.000000	1	18.000000	-nan	388.000000	22	17.636364	39.861472	14.932717	20.340010	14.031886	21.240841
9	0	59.000000	3	19.666667	9.333333	4201.000000	231	18.186147	46.186938	17.288019	19.084275	16.988771	19.383523
