episodeIndex	770
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	2308.000000	1054	2.189753	6.685707	2.029784	2.349723	1.976483	2.403024
1	1	0.000000	0	-nan	-nan	194.000000	54	3.592593	7.340321	2.852058	4.333127	2.605319	4.579867
2	0	2.000000	1	2.000000	-nan	6302.000000	1447	4.355218	15.361977	4.148264	4.562172	4.079308	4.631127
2	1	0.000000	0	-nan	-nan	654.000000	104	6.288462	23.877147	5.326054	7.250869	5.005388	7.571535
3	0	3.000000	1	3.000000	-nan	10339.000000	1547	6.683258	27.188096	6.416984	6.949532	6.328264	7.038252
3	1	0.000000	0	-nan	-nan	976.000000	116	8.413793	29.427286	7.402142	9.425444	7.065069	9.762517
4	0	12.000000	2	6.000000	8.000000	14168.000000	1555	9.111254	36.689674	8.802728	9.419780	8.699930	9.522578
4	1	0.000000	0	-nan	-nan	960.000000	98	9.795918	38.555859	8.536074	11.055762	8.116306	11.475531
5	0	42.000000	4	10.500000	19.666667	18220.000000	1590	11.459119	47.061575	11.113563	11.804676	10.998426	11.919813
5	1	7.000000	1	7.000000	-nan	1427.000000	109	13.091743	45.732246	11.790727	14.392759	11.357240	14.826246
6	0	46.000000	4	11.500000	19.666667	22308.000000	1661	13.430464	51.354951	13.077288	13.783639	12.959613	13.901314
6	1	12.000000	1	12.000000	-nan	1954.000000	108	18.092593	78.757702	16.377375	19.807810	15.805880	20.379305
7	0	28.000000	2	14.000000	18.000000	25423.000000	1647	15.435944	54.674965	15.069985	15.801903	14.948051	15.923837
7	1	0.000000	0	-nan	-nan	1985.000000	113	17.566372	57.819216	16.129621	19.003123	15.650908	19.481835
8	0	38.000000	2	19.000000	2.000000	27986.000000	1629	17.179865	55.666032	16.808570	17.551160	16.684858	17.674872
8	1	0.000000	0	-nan	-nan	1888.000000	109	17.321101	39.349643	16.114283	18.527919	15.712182	18.930020
9	0	40.000000	2	20.000000	2.000000	22830.000000	1252	18.234824	55.353287	17.812492	18.657156	17.671775	18.797874
