2	2	50.636277	67	0.755765	18.764905	50.636277	67	0.755765	18.764905
2	2	233.851299	83	2.817486	108.456883	284.487575	150	1.896584	69.057284	-6.724757	10.517924	-41.295436	45.088603
2	2	113.581153	79	1.437736	51.596657	398.068728	229	1.738291	62.828813	-0.515418	3.992001	-3.460296	6.936879
2	2	37.480588	63	0.594930	10.841295	435.549316	292	1.491607	51.758484	0.151744	2.831470	-0.967513	3.950728
2	2	53.232340	71	0.749751	12.148957	488.781656	363	1.346506	44.043033	0.379399	2.313613	-0.257218	2.950230
2	2	159.354291	84	1.897075	78.980952	648.135947	447	1.449969	50.492544	0.586013	2.313924	0.094792	2.805145
2	2	118.663978	72	1.648111	36.235886	766.799925	519	1.477457	48.445671	0.729869	2.225044	0.344752	2.610161
2	2	89.180584	69	1.292472	28.173615	855.980509	588	1.455749	46.018309	0.794236	2.117263	0.476754	2.434744
2	2	3.573455	73	0.048951	0.122946	859.553964	661	1.300384	41.136541	0.725112	1.875656	0.463326	2.137443
2	2	59.437178	67	0.887122	49.490537	918.991142	728	1.262350	41.852657	0.719952	1.804749	0.483136	2.041565
2	2	32.869652	71	0.462953	14.564809	951.860794	799	1.191315	39.458344	0.696163	1.686467	0.487018	1.895612
2	2	146.355572	78	1.876353	77.146821	1098.216366	877	1.252242	42.764168	0.766219	1.738266	0.566415	1.938069
2	2	142.558170	69	2.066060	72.646161	1240.774537	946	1.311601	44.913985	0.836851	1.786351	0.646035	1.977167
2	2	19.036203	76	0.250476	2.341001	1259.810740	1022	1.232692	41.820277	0.795677	1.669706	0.623347	1.842036
2	2	73.187392	77	0.950486	23.376646	1332.998132	1099	1.212919	40.510774	0.801134	1.624704	0.641385	1.784454
2	2	18.369362	69	0.266223	4.095003	1351.367494	1168	1.156993	38.404008	0.770499	1.543486	0.622669	1.691317
2	2	148.019249	81	1.827398	86.922327	1499.386743	1249	1.200470	41.510663	0.814000	1.586939	0.667997	1.732943
2	2	38.320253	69	0.555366	12.208050	1537.706996	1318	1.166697	39.986839	0.799207	1.534187	0.661880	1.671514
2	2	23.204706	76	0.305325	2.196038	1560.911702	1394	1.119736	37.961726	0.773038	1.466434	0.644730	1.594741
2	2	46.003510	76	0.605309	16.167395	1606.915212	1470	1.093140	36.836155	0.761816	1.424463	0.640256	1.546023
2	2	80.945317	65	1.245313	38.350916	1687.860529	1535	1.099583	36.876278	0.776268	1.422898	0.658568	1.540599
2	2	32.442355	74	0.438410	10.267336	1720.302884	1609	1.069175	35.664545	0.759559	1.378791	0.647638	1.490712
2	2	97.681753	76	1.285286	32.911205	1817.984637	1685	1.078923	35.522754	0.777805	1.380040	0.669652	1.488194
2	2	8.204348	73	0.112388	0.728712	1826.188985	1758	1.038788	34.113915	0.750620	1.326955	0.647721	1.429854
2	2	61.888000	72	0.859556	20.175348	1888.076986	1830	1.031736	33.555397	0.752260	1.311212	0.652998	1.410474
2	2	161.038651	85	1.894572	93.157857	2049.115636	1915	1.070034	36.185242	0.786927	1.353142	0.686869	1.453200
2	2	18.417635	73	0.252296	1.950465	2067.533272	1988	1.040007	34.950181	0.767460	1.312553	0.671572	1.408441
2	2	146.739610	84	1.746900	70.203571	2214.272882	2072	1.068665	36.365610	0.796838	1.340491	0.701604	1.435725
2	2	180.826760	80	2.260334	112.434243	2395.099642	2152	1.112965	39.193336	0.836524	1.389405	0.740052	1.485877
2	2	114.749698	68	1.687496	59.423384	2509.849340	2220	1.130563	39.796301	0.856729	1.404397	0.761513	1.499613
2	2	63.612770	76	0.837010	14.436434	2573.462110	2296	1.120846	38.952966	0.854836	1.386856	0.762653	1.479038
2	2	112.515476	75	1.500206	44.132870	2685.977586	2371	1.132846	39.102676	0.870929	1.394763	0.780452	1.485240
2	2	196.760637	71	2.771277	142.282055	2882.738223	2442	1.180482	42.121319	0.912963	1.448002	0.820826	1.540139
2	2	143.724463	58	2.478008	87.482345	3026.462687	2500	1.210585	43.177277	0.943211	1.477959	0.851381	1.569789
2	2	9.893173	85	0.116390	0.471702	3036.355859	2585	1.174606	41.810394	0.916149	1.433063	0.827614	1.521597
2	2	68.387484	63	1.085516	53.292954	3104.743344	2648	1.172486	42.063736	0.916619	1.428353	0.829188	1.515784
2	2	63.132045	93	0.678839	18.710349	3167.875389	2741	1.155737	41.272247	0.906873	1.404601	0.822033	1.489441
2	2	59.654365	70	0.852205	22.646953	3227.529754	2811	1.148178	40.802450	0.904064	1.392293	0.821028	1.475329
2	2	32.013919	69	0.463970	13.609324	3259.543673	2880	1.131786	40.156946	0.892741	1.370831	0.811600	1.451972
2	2	187.649339	88	2.132379	74.699985	3447.193012	2968	1.161453	41.185115	0.923184	1.399722	0.842466	1.480440
2	2	88.233076	75	1.176441	55.730190	3535.426089	3043	1.161823	41.525407	0.925727	1.397918	0.845896	1.477749
2	2	32.195290	85	0.378768	5.341129	3567.621378	3128	1.140544	40.556331	0.910586	1.370502	0.832970	1.448118
2	2	168.885915	83	2.034770	82.347259	3736.507293	3211	1.163658	41.631394	0.933870	1.393447	0.856443	1.470874
2	2	136.396565	88	1.549961	57.621630	3872.903859	3299	1.173963	42.044463	0.946295	1.401631	0.869707	1.478218
2	2	137.964441	83	1.662222	46.655316	4010.868300	3382	1.185946	42.149564	0.960955	1.410936	0.885387	1.486505
2	2	96.615548	93	1.038877	44.922033	4107.483848	3475	1.182010	42.211417	0.960027	1.403992	0.885579	1.478440
2	2	36.192295	65	0.556805	5.530447	4143.676142	3540	1.170530	41.543190	0.952473	1.388587	0.879446	1.461614
