episodeIndex	993
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	2902.000000	1346	2.156018	6.335492	2.018217	2.293819	1.972303	2.339733
1	1	0.000000	0	-nan	-nan	247.000000	71	3.478873	6.681690	2.862706	4.095040	2.657405	4.300342
2	0	2.000000	1	2.000000	-nan	8180.000000	1864	4.388412	15.707348	4.204032	4.572792	4.142599	4.634225
2	1	0.000000	0	-nan	-nan	780.000000	129	6.046512	20.279070	5.250144	6.842880	4.984801	7.108222
3	0	3.000000	1	3.000000	-nan	13633.000000	2027	6.725703	26.511101	6.495997	6.955409	6.419462	7.031944
3	1	0.000000	0	-nan	-nan	1203.000000	143	8.412587	30.863784	7.479460	9.345715	7.168550	9.656625
4	0	4.000000	1	4.000000	-nan	18398.000000	2027	9.076468	35.261178	8.811553	9.341382	8.723286	9.429650
4	1	0.000000	0	-nan	-nan	1270.000000	131	9.694656	36.275279	8.637707	10.751606	8.285541	11.103772
5	0	5.000000	1	5.000000	-nan	23043.000000	2037	11.312224	44.256103	11.016167	11.608281	10.917523	11.706925
5	1	0.000000	0	-nan	-nan	1796.000000	138	13.014493	41.955993	11.906997	14.121988	11.537989	14.490996
6	0	6.000000	1	6.000000	-nan	28124.000000	2115	13.297400	47.943205	12.994992	13.599807	12.894232	13.700567
6	1	0.000000	0	-nan	-nan	2254.000000	133	16.947368	72.338118	15.466071	18.428666	14.972515	18.922221
7	0	7.000000	1	7.000000	-nan	31871.000000	2089	15.256582	50.662103	14.943789	15.569375	14.839569	15.673595
7	1	0.000000	0	-nan	-nan	2469.000000	143	17.265734	57.365508	15.993574	18.537895	15.569701	18.961768
8	0	18.000000	2	9.000000	2.000000	35246.000000	2071	17.018831	51.840708	16.701049	17.336614	16.595167	17.442496
8	1	0.000000	0	-nan	-nan	2384.000000	136	17.529412	36.932462	16.482719	18.576105	16.133970	18.924853
9	0	20.000000	2	10.000000	2.000000	29072.000000	1606	18.102117	51.611996	17.742047	18.462187	17.622075	18.582159
