episodeIndex	655
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	656	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	2006.000000	902	2.223947	7.192855	2.044584	2.403309	1.984822	2.463071
1	1	0.000000	0	-nan	-nan	176.000000	44	4.000000	7.906977	3.148541	4.851459	2.864843	5.135157
2	0	2.000000	1	2.000000	-nan	5606.000000	1251	4.481215	16.846647	4.248131	4.714299	4.170469	4.791961
2	1	0.000000	0	-nan	-nan	484.000000	84	5.761905	9.581182	5.083554	6.440256	4.857533	6.666276
3	0	3.000000	1	3.000000	-nan	8917.000000	1327	6.719668	27.378369	6.431164	7.008173	6.335037	7.104300
3	1	0.000000	0	-nan	-nan	807.000000	99	8.151515	28.660482	7.070806	9.232224	6.710724	9.592307
4	0	4.000000	1	4.000000	-nan	11974.000000	1325	9.036981	36.207846	8.704951	9.369012	8.594321	9.479641
4	1	0.000000	0	-nan	-nan	778.000000	78	9.974359	41.713620	8.505513	11.443205	8.016107	11.932611
5	0	5.000000	1	5.000000	-nan	15501.000000	1355	11.439852	47.280538	11.064658	11.815047	10.939647	11.940058
5	1	0.000000	0	-nan	-nan	1203.000000	89	13.516854	51.138917	11.994326	15.039382	11.487033	15.546675
6	0	6.000000	1	6.000000	-nan	19108.000000	1415	13.503887	52.633471	13.116507	13.891267	12.987435	14.020339
6	1	0.000000	0	-nan	-nan	1634.000000	91	17.956044	76.709158	16.111931	19.800157	15.497489	20.414599
7	0	7.000000	1	7.000000	-nan	21271.000000	1385	15.358123	54.565297	14.959449	15.756797	14.826614	15.889631
7	1	0.000000	0	-nan	-nan	1505.000000	87	17.298851	59.211975	15.641823	18.955878	15.089716	19.507985
8	0	8.000000	1	8.000000	-nan	22912.000000	1346	17.022288	54.977942	16.616353	17.428223	16.481100	17.563477
8	1	0.000000	0	-nan	-nan	1704.000000	98	17.387755	40.775931	16.092147	18.683363	15.660463	19.115048
9	0	9.000000	1	9.000000	-nan	19158.000000	1056	18.142045	54.288809	17.686630	18.597461	17.534890	18.749201
