episodeIndex	575
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	576	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	1693.000000	781	2.167734	7.209009	1.974761	2.360707	1.910464	2.425004
1	1	0.000000	0	-nan	-nan	156.000000	38	4.105263	7.934566	3.187450	5.023077	2.881643	5.328884
2	0	2.000000	1	2.000000	-nan	4874.000000	1085	4.492166	17.458656	4.237380	4.746952	4.152488	4.831844
2	1	4.000000	1	4.000000	-nan	398.000000	72	5.527778	8.731612	4.828313	6.227242	4.595258	6.460297
3	0	8.000000	2	4.000000	2.000000	7814.000000	1158	6.747841	28.638176	6.431975	7.063707	6.326731	7.168951
3	1	0.000000	0	-nan	-nan	715.000000	89	8.033708	24.828396	6.972834	9.094582	6.619360	9.448056
4	0	14.000000	2	7.000000	2.000000	10522.000000	1165	9.031760	36.814283	8.674709	9.388810	8.555743	9.507776
4	1	0.000000	0	-nan	-nan	696.000000	71	9.802817	42.989135	8.239904	11.365730	7.719155	11.886478
5	0	16.000000	2	8.000000	2.000000	13679.000000	1193	11.466052	49.077915	11.058665	11.873439	10.922927	12.009177
5	1	0.000000	0	-nan	-nan	1098.000000	82	13.390244	53.672990	11.765236	15.015252	11.223797	15.556690
6	0	10.000000	1	10.000000	-nan	16882.000000	1246	13.548957	54.328123	13.129547	13.968366	12.989804	14.108109
6	1	0.000000	0	-nan	-nan	1432.000000	79	18.126582	72.035054	16.208607	20.044557	15.569555	20.683610
7	0	11.000000	1	11.000000	-nan	18687.000000	1221	15.304668	54.038249	14.882119	15.727218	14.741329	15.868007
7	1	0.000000	0	-nan	-nan	1181.000000	73	16.178082	35.203957	14.783260	17.572905	14.318517	18.037647
8	0	12.000000	1	12.000000	-nan	20064.000000	1185	16.931646	53.813736	16.503618	17.359673	16.361003	17.502288
8	1	0.000000	0	-nan	-nan	1450.000000	85	17.058824	41.389356	15.657238	18.460409	15.190243	18.927404
9	0	13.000000	1	13.000000	-nan	16859.000000	929	18.147470	55.194824	17.657888	18.637053	17.494763	18.800177
