episodeIndex	713
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	4.000000	2	2.000000	2.000000	2127.000000	973	2.186023	6.834702	2.017682	2.354363	1.961593	2.410452
1	1	0.000000	0	-nan	-nan	183.000000	49	3.734694	7.782313	2.934232	4.535156	2.667525	4.801863
2	0	6.000000	2	3.000000	2.000000	5892.000000	1339	4.400299	16.096741	4.180075	4.620522	4.106699	4.693898
2	1	0.000000	0	-nan	-nan	602.000000	96	6.270833	25.146930	5.242837	7.298829	4.900318	7.641349
3	0	5.000000	1	5.000000	-nan	9523.000000	1425	6.682807	27.865610	6.401933	6.963681	6.308348	7.057266
3	1	0.000000	0	-nan	-nan	848.000000	104	8.153846	27.937267	7.112824	9.194868	6.765965	9.541727
4	0	58.000000	3	19.333333	169.333333	12858.000000	1426	9.016830	36.503576	8.695470	9.338191	8.588395	9.445265
4	1	0.000000	0	-nan	-nan	842.000000	87	9.678161	38.685913	8.338788	11.017533	7.892521	11.463800
5	0	124.000000	6	20.666667	101.466667	16783.000000	1473	11.393754	47.241591	11.034050	11.753458	10.914200	11.873309
5	1	0.000000	0	-nan	-nan	1311.000000	99	13.242424	48.512059	11.836403	14.648445	11.367929	15.116919
6	0	154.000000	8	19.250000	79.928571	20784.000000	1545	13.452427	52.417586	13.082464	13.822391	12.959195	13.945659
6	1	10.000000	1	10.000000	-nan	1818.000000	99	18.363636	80.274583	16.554980	20.172293	15.952352	20.774921
7	0	164.000000	8	20.500000	82.000000	23392.000000	1522	15.369251	55.040421	14.987291	15.751211	14.860025	15.878477
7	1	0.000000	0	-nan	-nan	1883.000000	105	17.933333	58.005128	16.440459	19.426207	15.943047	19.923620
8	0	114.000000	4	28.500000	27.666667	25556.000000	1496	17.082888	55.843292	16.694823	17.470953	16.565523	17.600252
8	1	0.000000	0	-nan	-nan	1766.000000	102	17.313725	40.039216	16.055301	18.572150	15.636005	18.991446
9	0	64.000000	2	32.000000	50.000000	20972.000000	1154	18.173310	55.638628	17.732278	18.614342	17.585331	18.761290
