-nan	-nan
59.0553	77.2438
59.0372	77.2721
59.106	77.1938
58.9926	77.3365
59.0864	77.217
59.14	77.1629
59.2172	77.0718
59.1448	77.1696
59.2066	77.0983
59.2913	76.9854
59.3737	76.8796
59.4482	76.7855
59.5075	76.7229
59.5201	76.7203


-nan	-nan
35.3051	129.165
32.1685	141.703
35.3588	129.052
38.5983	118.298
41.416	110.364
42.6857	107.209
44.0292	103.993
43.1085	106.221
45.0979	101.488
46.6496	98.0515
48.247	94.8114
49.4308	92.5171
49.4479	92.4594
50.5549	90.4053
49.9996	91.3636
50.602	90.2987
51.2978	89.061
51.9757	87.8449
52.6938	86.6027
53.3305	85.5424
53.3631	85.4801
53.9401	84.5449
54.3279	83.9197
54.7489	83.2564
54.6522	83.3712
55.0214	82.802
55.0183	82.8077
54.7751	83.1749
55.0822	82.7086
55.128	82.6516
55.173	82.5629
55.2402	82.4612
54.9624	82.8291
55.2936	82.3266
55.553	81.9283
55.7343	81.672
56.016	81.2384
56.2445	80.9106
56.108	81.1073
56.3752	80.7292
56.5978	80.4199
55.5612	81.9202
55.5053	81.995
55.4658	82.0513
55.6445	81.793
55.8869	81.4342
56.0644	81.1566
56.2229	80.9376
56.4184	80.6484
56.6311	80.352
56.7712	80.1575
56.9536	79.8912
57.1443	79.6283
57.2851	79.4466
57.4021	79.2847
57.571	79.0436
57.6177	78.9846
57.4661	79.1948
57.6488	78.9984
57.7069	78.9155
57.8231	78.7595
57.9745	78.5579
58.1258	78.3694
58.2496	78.1948
58.3776	78.0335
58.2422	78.214
58.3334	78.0938
58.457	77.9392
58.5748	77.7862
58.6574	77.6736
58.7697	77.5281
58.7372	77.5715
58.6344	77.7153
58.7483	77.5775
58.8342	77.4707
58.8054	77.5124
58.7822	77.5502
58.8608	77.4557
58.9628	77.3317
59.0366	77.24
59.1092	77.1497
59.1819	77.0627
59.2126	77.0254
59.3119	76.9034
59.3796	76.8216
59.4083	76.7853
59.5026	76.6716
59.4231	76.781
59.4853	76.698
59.3325	76.9009
59.4186	76.8005
59.3476	76.896
59.4128	76.8211
59.5024	76.7174
59.4921	76.7268
59.4244	76.8147
59.4539	76.7783
59.5372	76.6908
59.5681	76.6577


-nan	-nan
53.4227	85.3684
55.2878	82.4127
56.6777	80.4831
56.908	80.2251
57.6282	79.3194
58.5195	78.223
59.5671	76.8975
60.3897	75.8581
60.7383	75.3918
61.349	74.6032
61.1552	74.8441
61.5646	74.3297
60.2706	75.8917
60.7345	75.2882
61.0329	74.8584
61.3863	74.4495
61.711	74.0484
61.5869	74.155
61.7562	73.9166
61.8579	73.7758
61.6854	73.9677
61.4975	74.1727
61.7346	73.8718
61.9233	73.6298
62.0974	73.4027
62.2889	73.167
62.4668	72.9591
62.6377	72.7587
62.6892	72.6962
62.7968	72.5841
62.9274	72.4067
62.9513	72.377
63.0402	72.2446
63.1631	72.0985
63.0479	72.2215
63.1649	72.0975
63.257	71.9746
63.2937	71.9338
63.2101	72.0281
63.2438	71.994
63.3456	71.8855
63.3258	71.9065
63.394	71.817
63.4697	71.7276
63.4863	71.7143
63.4599	71.7398
63.5291	71.6472
63.5421	71.6409
63.4884	71.6946
63.5539	71.6258
63.2502	71.972
63.3173	71.8878
63.3937	71.8038
63.3456	71.866
63.3521	71.8583
63.4136	71.7815
63.4794	71.7127
63.5152	71.6749
63.5984	71.6279
63.6475	71.5703
63.6802	71.535
63.6896	71.5271
63.7343	71.4916
63.7384	71.4803
63.7891	71.4335
63.8114	71.4067
63.8361	71.3809
63.879	71.3435
63.9314	71.2883
63.9379	71.2771
63.9844	71.2272
64.0266	71.1807
64.075	71.1312
64.1243	71.0861
64.1445	71.0688
64.1889	71.0251
64.0867	71.146
64.1262	71.1125
64.1622	71.0812
64.1988	71.0456
64.2397	71.0051
64.2802	70.966
64.2732	70.9774
64.2363	71.0226
64.2728	70.9889
64.2898	70.971
64.3286	70.9352
64.3577	70.9145
64.3799	70.8865
64.4065	70.8597
64.4108	70.8637
64.4473	70.8303
64.4792	70.8021
64.5015	70.7866
64.5264	70.7567
64.5522	70.7291
64.5815	70.6989
64.615	70.6767
64.6448	70.652


-nan	-nan
63.6465	71.6532
64.347	70.8146
65.1919	69.9747
65.5185	69.6816
65.7823	69.4832
66.1002	69.2435
65.9451	69.452
66.1504	69.2434
66.2953	69.0628
66.4041	68.9146
66.5103	68.8086
66.5919	68.7089
66.6536	68.6191
66.7045	68.5459
66.7356	68.4607
66.7201	68.4965
66.7661	68.441
66.7867	68.3753
66.8017	68.3259
66.8242	68.2837
66.8486	68.2476
66.8487	68.2314
66.8657	68.1992
66.8509	68.198
66.8663	68.1625
66.8855	68.1336
66.9008	68.1187
66.9185	68.0995
66.9282	68.0875
66.9455	68.0827
66.9469	68.0567
66.9602	68.0413
66.9148	68.0615
66.9279	68.043
66.934	68.0268
66.9484	68.0217
66.9514	68.0013
66.9654	67.988
66.9767	67.9756
66.9739	67.9828
66.9827	67.9807
66.986	67.9759
66.9556	67.9963
66.9638	67.9847
66.9705	67.9826
66.9763	67.9732
66.9703	67.9663
66.9602	67.9858
66.9657	67.9722
66.9762	67.9663
66.9737	67.972
66.9791	67.9594
66.9824	67.9586
66.976	67.9742
66.9777	67.9721
66.9826	67.9601
66.9882	67.96
66.9969	67.9537
67.0164	67.9773
67.0224	67.9688
67.0305	67.962
67.0378	67.9575
67.0511	67.9568
67.0487	67.9518
67.0597	67.9495
67.0648	67.9424
67.0696	67.9395
67.0774	67.9409
67.0763	67.9452
67.0808	67.9374
67.0876	67.9324
67.091	67.9293
67.0985	67.9257
67.0991	67.9346
67.0978	67.9403
67.105	67.9383
67.1008	67.9529
67.1103	67.9523
67.1198	67.9515
67.1272	67.9488
67.1331	67.9472
67.1396	67.9457
67.1423	67.9459
67.1462	67.9474
67.1537	67.9457
67.1581	67.942
67.1657	67.9408
67.1672	67.9512
67.1689	67.9465
67.1737	67.9441
67.1785	67.9492
67.1849	67.949
67.1919	67.948
67.1978	67.9516
67.1978	67.9493
67.2007	67.9469
67.2023	67.9471
67.2013	67.963
67.2087	67.9633


-nan	-nan
40.0722	113.801
50.0567	91.0263
54.6587	83.4585
57.3608	79.592
59.1148	77.3214
60.1011	76.1586
60.1044	76.2017
60.3639	75.8821
61.0272	75.0257
61.524	74.3829
61.6669	74.2146
61.9156	73.9006
61.5751	74.2839
61.7492	74.0502
62.0853	73.5911
62.396	73.2461
61.643	74.1303
61.8675	73.8104
61.9369	73.6873
61.5006	74.1859
61.7641	73.8575
62.0022	73.5563
62.174	73.3364
62.2672	73.208
62.387	73.045
62.5261	72.8723
62.6876	72.6856
62.8442	72.5036
62.5971	72.7875
62.7584	72.6141
62.8347	72.5022
62.9581	72.3584
63.0694	72.2032
63.1116	72.1501
63.2252	72.0102
63.1127	72.1506
63.2163	72.0136
63.2245	72.0054
63.3206	71.8953
63.3363	71.8817
63.4042	71.8127
63.4962	71.7072
63.5775	71.6038
63.6247	71.547
63.706	71.4606
63.7707	71.3847
63.793	71.3473
63.7901	71.3589
63.859	71.2736
63.9221	71.2079
63.9651	71.1638
64.0177	71.0982
63.9986	71.1218
64.0007	71.1277
64.0543	71.0678
64.1101	70.9986
64.1398	70.9711
64.1895	70.9191
64.2548	70.8943
64.305	70.8364
64.3412	70.7983
64.391	70.7467
64.3807	70.7733
64.4242	70.7177
64.4562	70.6927
64.4786	70.6663
64.4516	70.6977
64.4215	70.7387
64.4371	70.7246
64.4699	70.685
64.4183	70.744
64.39	70.7755
64.4132	70.7546
64.4437	70.7318
64.4743	70.7024
64.514	70.6647
64.5549	70.6307
64.5964	70.5949
64.6263	70.5709
64.6293	70.5734
64.6663	70.5376
64.6866	70.5213
64.6853	70.5255
64.7031	70.5112
64.711	70.5081
64.7398	70.4774
64.7486	70.4754
64.7796	70.4533
64.7826	70.4472
64.74	70.4957
64.7567	70.4866
64.7623	70.4864
64.7777	70.4754
64.8113	70.4487
64.7433	70.5197
64.7158	70.5504
64.683	70.5877
64.7125	70.5697
64.7405	70.547


-nan	-nan
45.599	100.017
53.5683	85.0647
55.7897	81.7654
58.0664	78.6243
56.4182	81.0112
57.8962	79.0527
58.0065	78.9506
58.1915	78.7079
58.9573	77.6513
59.0789	77.4491
59.7601	76.5712
58.9241	77.638
59.1671	77.2926
59.6618	76.6276
59.8945	76.2754
60.1164	76.0139
60.4057	75.6404
60.5516	75.4135
60.5305	75.3967
60.8468	74.9841
61.0725	74.6941
61.2354	74.4763
61.4841	74.1589
61.7068	73.8735
61.8578	73.6733
62.0311	73.4572
62.2169	73.2388
62.3824	73.0434
62.4337	72.9815
62.6006	72.8009
62.7404	72.6126
62.8757	72.4546
62.9961	72.2873
63.0909	72.1736
63.0127	72.2511
63.1177	72.1408
63.2082	72.0183
63.3165	71.8963
63.3859	71.8168
63.2035	72.03
63.2944	71.9337
63.3752	71.8405
63.0299	72.2195
63.0657	72.1748
62.9957	72.2592
63.0677	72.1734
63.1438	72.0732
63.0922	72.1402
63.1717	72.0412
63.2562	71.9502
63.3025	71.9015
63.3705	71.8172
63.4285	71.7546
63.5048	71.6782
63.5736	71.6005
63.6311	71.528
63.6832	71.476
63.5678	71.6079
63.6498	71.5627
63.7085	71.4944
63.7357	71.4657
63.7958	71.4017
63.8543	71.3493
63.8975	71.2928
63.9478	71.2457
63.9459	71.2456
63.9078	71.2908
63.9283	71.2766
63.9529	71.2523
63.996	71.2011
63.981	71.2196
64.028	71.1679
64.0626	71.1334
64.0995	71.1018
64.1237	71.079
64.0577	71.1595
64.0929	71.1321
64.134	71.0968
64.1801	71.0553
64.1051	71.145
64.102	71.154
64.0789	71.1862
64.1071	71.1577
64.1426	71.1238
64.1652	71.1058
64.1603	71.1119
64.2006	71.0743
64.2432	71.0398
64.2644	71.0129
64.2997	70.9767
64.3257	70.9593
64.3631	70.9247
64.3985	70.8922
64.4111	70.8896
64.4384	70.8569
64.466	70.8271
64.4355	70.8631
64.4358	70.8753
64.4701	70.8457


-nan	-nan
54.2792	84.0176
56.7904	80.24
53.6698	84.9916
55.8023	81.8133
57.8197	79.0527
58.9742	77.6141
60.0934	76.2188
60.9038	75.2123
61.5659	74.3719
62.042	73.7643
62.5139	73.2116
62.4339	73.29
62.2516	73.4788
62.0087	73.7462
62.3177	73.3218
61.861	73.8811
61.3135	74.5332
61.5391	74.2137
61.7762	73.8927
61.9252	73.6954
62.1131	73.4594
62.2669	73.2589
62.4768	72.9967
62.617	72.8166
62.7798	72.6058
62.9463	72.4037
63.065	72.268
63.0595	72.2727
63.1266	72.1936
63.2665	72.047
63.3843	71.8874
63.402	71.865
63.3222	71.9233
63.3293	71.9102
63.3768	71.8467
63.4907	71.7278
63.5803	71.6087
63.6779	71.4998
63.7682	71.3975
63.85	71.3106
63.8664	71.3001
63.9316	71.2259
63.9797	71.1603
64.0448	71.0845
64.0947	71.0343
64.1624	70.9558
64.2191	70.8797
64.2869	70.8145
64.2342	70.8631
64.2837	70.8131
64.3242	70.7716
64.3336	70.753
64.1502	70.9573
64.1245	70.9936
64.1196	70.9988
64.1435	70.9655
64.1663	70.9456
64.2229	70.8858
64.273	70.8718
64.3167	70.8211
64.3177	70.8214
64.3615	70.7766
64.4142	70.7318
64.4496	70.6855
64.4779	70.6631
64.5104	70.6255
64.5549	70.579
64.5913	70.5483
64.5287	70.6194
64.5594	70.5827
64.5981	70.5425
64.5692	70.5747
64.6101	70.5341
64.6523	70.4982
64.6223	70.5347
64.6553	70.5046
64.694	70.4726
64.7229	70.4501
64.7319	70.4508
64.7679	70.4168
64.8018	70.3848
64.8221	70.3677
64.8485	70.3421
64.8471	70.3486
64.864	70.3371
64.8908	70.3089
64.92	70.2837
64.9542	70.2592
64.9309	70.2808
64.9478	70.2649
64.9367	70.2855
64.9326	70.2976
64.9516	70.2831
64.9596	70.2831
64.9753	70.2636
64.9887	70.2497
65.0132	70.2255
64.9433	70.3122
64.9702	70.2909


-nan	-nan
38.457	118.58
48.1765	94.5854
52.2344	87.331
47.452	96.208
50.7517	90.066
53.1187	86.1738
54.831	83.5371
56.1521	81.58
56.9502	80.4037
57.253	79.9336
58.0599	78.827
58.7142	77.9313
59.3234	77.1007
59.7356	76.5437
60.1951	75.8993
60.6016	75.4113
60.9535	74.9672
61.189	74.6266
61.4821	74.2328
61.7582	73.8804
62.0082	73.5706
62.1457	73.3891
62.3604	73.1206
62.5561	72.8748
62.7301	72.6521
62.5748	72.8241
62.7489	72.6228
62.6797	72.702
62.8302	72.5256
62.7781	72.6013
62.1541	73.2964
62.2989	73.1242
62.4296	72.9433
62.4618	72.9009
62.5633	72.7713
62.673	72.6538
62.7642	72.5307
62.8798	72.3985
62.9396	72.3288
62.9959	72.2686
63.0091	72.2599
63.0053	72.2631
63.1	72.1433
62.939	72.3236
63.0353	72.2182
63.1117	72.1269
63.1753	72.0395
63.2549	71.9582
63.2999	71.8978
63.3705	71.8232
63.4184	71.7721
63.4738	71.7015
63.5478	71.621
63.6221	71.547
63.622	71.5468
63.6649	71.4918
63.7322	71.4223
63.7593	71.3952
63.6912	71.5271
63.718	71.4948
63.5565	71.6784
63.5938	71.6391
63.6465	71.5923
63.701	71.5231
63.7603	71.4664
63.8086	71.4101
63.784	71.4401
63.8404	71.387
63.8341	71.3968
63.8219	71.4064
63.8725	71.3519
63.8997	71.3219
63.9376	71.2835
63.9877	71.2374
64.0285	71.1967
64.0727	71.153
64.1135	71.1178
64.1498	71.0863
64.1912	71.0494
64.2116	71.0314
64.2268	71.0188
64.2545	70.994
64.2772	70.9725
64.3136	70.9378
64.3329	70.922
64.3677	70.8845
64.4053	70.8501
64.4221	70.8426
64.4542	70.8041
64.4811	70.777
64.5118	70.7543
64.544	70.7254
64.5784	70.6944
64.6136	70.666
64.6377	70.6373
64.6616	70.6119
64.6556	70.62
64.6903	70.5968
64.7201	70.573


-nan	-nan
48.93	93.2015
48.9471	93.1045
51.2041	89.0875
52.8692	86.3532
55.1391	82.8969
56.9142	80.4217
57.2571	79.9948
57.8205	79.2238
58.5503	78.2041
59.2563	77.2338
59.7598	76.5876
60.1987	76.0126
60.6448	75.4253
61.0813	74.8626
61.0121	74.8951
61.3514	74.5027
61.3489	74.4953
61.3965	74.3835
61.0606	74.7613
60.5533	75.3706
60.8588	74.9792
61.0936	74.6734
61.2141	74.5112
61.4001	74.2684
61.3749	74.2799
61.4656	74.1607
61.6705	73.9145
61.8143	73.7408
61.9175	73.6148
62.0947	73.4183
61.9092	73.6058
62.0657	73.418
61.3361	74.2514
61.4787	74.073
61.6305	73.8799
61.6919	73.8155
61.808	73.6564
61.8603	73.595
61.9974	73.4313
62.1303	73.2792
62.2577	73.1367
62.3663	73.0078
62.409	72.9448
62.3465	73.0151
62.3709	72.9909
62.4756	72.8649
62.5644	72.7479
62.6667	72.6389
62.6812	72.6123
62.6998	72.5951
62.7893	72.4951
62.8666	72.3986
62.9122	72.3486
62.9931	72.265
62.9925	72.2654
62.9915	72.2603
63.0664	72.1807
63.1334	72.1069
63.1664	72.1221
63.1726	72.1119
63.1046	72.1908
63.1395	72.1544
63.2101	72.0879
63.2188	72.0686
63.2851	72.003
63.3419	71.9364
63.3824	71.8928
63.4374	71.8409
63.4682	71.809
63.5148	71.7531
63.5139	71.7564
63.512	71.7589
63.4761	71.8046
63.5335	71.7498
63.5794	71.7022
63.6079	71.6751
63.6588	71.629
63.7082	71.5835
63.7566	71.5391
63.8034	71.4916
63.6547	71.6616
63.6758	71.6425
63.7085	71.6087
63.7554	71.5619
63.7745	71.5476
63.8148	71.5032
63.8461	71.4743
63.8683	71.4604
63.9047	71.4165
63.9453	71.3738
63.9655	71.3602
64.0046	71.3232
63.9667	71.3737
64.0086	71.337
64.0155	71.3263
64.0405	71.2991
64.0744	71.2633
64.0998	71.2485
64.0881	71.2681


-nan	-nan
65.2777	69.8634
65.6267	69.4324
65.2897	69.8692
65.4225	69.7837
65.7175	69.5517
65.64	69.7299
65.7206	69.6892
65.8891	69.5181
66.0536	69.3156
66.1546	69.1744
66.1926	69.1387
66.2532	69.0599
66.3394	68.944
66.379	68.8822
66.3581	68.8513
66.4337	68.7925
66.4823	68.734
66.36	68.8171
66.401	68.7402
66.4253	68.6962
66.471	68.6376
66.4912	68.6
66.5153	68.5604
66.4576	68.6042
66.4798	68.5616
66.5136	68.5173
66.5473	68.4833
66.5738	68.4547
66.6039	68.4216
66.6392	68.3979
66.5307	68.486
66.5594	68.4546
66.5738	68.4129
66.5851	68.3959
66.5993	68.3714
66.6276	68.3518
66.637	68.3248
66.6493	68.3129
66.6603	68.3008
66.6395	68.3266
66.6629	68.3095
66.6795	68.2909
66.6672	68.2923
66.6836	68.2722
66.7029	68.257
66.7134	68.2428
66.7227	68.22
66.7384	68.2129
66.7356	68.2079
66.7502	68.1976
66.7653	68.1852
66.773	68.1703
66.787	68.1585
66.8037	68.1503
66.8072	68.1464
66.8154	68.1309
66.8255	68.126
66.8339	68.12
66.8617	68.1349
66.8709	68.1231
66.8815	68.1137
66.892	68.1059
66.8958	68.1151
66.9014	68.1018
66.9081	68.1041
66.9158	68.0943
66.9233	68.0887
66.9351	68.086
66.942	68.0821
66.9454	68.0754
66.9527	68.0699
66.9602	68.0626
66.9696	68.0571
66.9809	68.0549
66.9869	68.0531
66.984	68.0614
66.9955	68.0598
67.0001	68.0643
66.9943	68.0795
66.994	68.0848
66.9763	68.1074
66.9764	68.1125
66.9655	68.1266
66.9749	68.1225
66.9812	68.1222
66.988	68.116
66.997	68.1133
66.9966	68.1258
67.0011	68.1181
67.0024	68.1193
67.0126	68.1189
67.0157	68.1221
67.0207	68.1234
67.0302	68.1232
67.0258	68.1253
67.0236	68.128
67.0201	68.1335
67.0327	68.1352
67.0408	68.1348


-nan	-nan
62.5587	72.899
61.9526	73.5528
59.5842	76.558
56.0457	81.4582
57.2499	79.8424
57.7744	79.2234
58.1733	78.729
59.2285	77.3344
59.8199	76.5359
60.3342	75.8464
60.9252	75.1153
60.7361	75.3339
59.9234	76.3313
60.2317	75.9186
60.5832	75.416
60.8822	75.0684
60.4776	75.563
60.8233	75.0833
61.0272	74.7971
61.1869	74.5824
61.4161	74.2921
61.2898	74.4299
61.0794	74.6727
61.1934	74.5173
61.1234	74.584
61.2825	74.3804
61.4619	74.1635
61.6101	73.9834
61.7954	73.759
61.9353	73.6048
62.0896	73.3955
61.8271	73.7053
61.9783	73.4961
62.1156	73.3273
62.1879	73.232
62.2704	73.144
62.3905	72.9834
62.479	72.8806
62.4444	72.9196
62.5651	72.7835
62.659	72.6811
62.2522	73.1536
62.2632	73.1269
62.3648	73.0038
62.4216	72.9418
62.4555	72.8977
62.5485	72.7745
62.5482	72.7829
62.5936	72.7203
62.6886	72.6151
62.777	72.5164
62.8186	72.4597
62.8999	72.3687
62.9705	72.2964
63.0426	72.2134
63.1157	72.1222
63.1644	72.0731
63.0968	72.1525
63.0393	72.2531
63.11	72.1697
63.1624	72.1114
63.2256	72.0426
63.2972	71.9749
63.323	71.9367
63.3731	71.8887
63.4273	71.8256
63.4718	71.7773
63.5318	71.7193
