episodeIndex	86
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	87	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	314.296000	8	39.287000	0.000000	27974.850000	699	40.021245	47.082928	39.499957	40.542533	39.326268	40.716221
1	1	314.296000	8	39.287000	0.000000	27768.288000	704	39.443591	10.541636	39.197808	39.689374	39.115915	39.771267
1	2	314.296000	8	39.287000	0.000000	27827.833000	698	39.867956	36.760701	39.407011	40.328900	39.253428	40.482483
1	3	9114.584000	232	39.287000	-0.000000	814219.438000	20332	40.046205	47.910981	39.948703	40.143707	39.916217	40.176193
2	0	275.009000	7	39.287000	0.000000	41298.872000	1032	40.018287	46.022947	39.594125	40.442449	39.452798	40.583776
2	1	471.444000	12	39.287000	0.000000	43500.622000	1085	40.092739	50.439009	39.659674	40.525804	39.515381	40.670097
2	2	392.870000	10	39.287000	0.000000	41569.025000	1045	39.778971	31.609459	39.429642	40.128301	39.313249	40.244694
2	3	20822.110000	530	39.287000	-0.000000	1781948.751000	44677	39.885148	38.664892	39.826060	39.944236	39.806372	39.963924
2	4	392.870000	10	39.287000	0.000000	41885.076000	1044	40.119805	52.392226	39.669851	40.569758	39.519930	40.719679
2	5	550.018000	14	39.287000	0.000000	41575.047000	1044	39.822842	35.128574	39.454404	40.191280	39.331643	40.314040
3	0	2239.359000	57	39.287000	-0.000000	218594.302000	5429	40.264193	60.917532	40.051430	40.476956	39.980539	40.547846
3	1	2357.220000	60	39.287000	-0.000000	219245.001000	5473	40.059383	49.333210	39.868687	40.250079	39.805148	40.313617
3	2	71384.479000	1817	39.287000	0.000000	6387455.162997	159009	40.170400	55.700622	40.132807	40.207993	40.120282	40.220518
3	3	2867.951000	73	39.287000	0.000000	217142.458000	5389	40.293646	63.375957	40.075828	40.511463	40.003254	40.584038
4	0	275.009000	7	39.287000	0.000000	35680.127000	890	40.090030	49.185017	39.617852	40.562209	39.460526	40.719534
4	1	12336.118000	314	39.287000	-0.000000	1042215.033000	26017	40.059001	47.084142	39.973555	40.144447	39.945085	40.172917
4	2	510.731000	13	39.287000	0.000000	35921.371000	898	40.001527	44.768634	39.553057	40.449997	39.403631	40.599423
4	3	628.592000	16	39.287000	-0.000000	37979.390000	944	40.232405	57.808237	39.735362	40.729447	39.569752	40.895057
5	0	0.000000	0	-nan	-nan	274.305000	7	39.186429	0.012544	39.101404	39.271454	39.073074	39.299783
5	1	0.000000	0	-nan	-nan	275.315000	7	39.330714	0.036314	39.186047	39.475381	39.137845	39.523583
5	2	0.000000	0	-nan	-nan	156.544000	4	39.136000	0.104254	38.811734	39.460266	38.703692	39.568308
5	3	157.148000	4	39.287000	0.000000	8342.114000	213	39.164854	0.080880	39.125715	39.203994	39.112674	39.217035
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
