episodeIndex	76
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	77	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	436.216000	11	39.656000	-0.000000	24822.658000	625	39.716253	29.448643	39.280262	40.152244	39.134994	40.297512
1	1	436.216000	11	39.656000	-0.000000	24270.912000	615	39.464898	12.057861	39.183654	39.746141	39.089947	39.839849
1	2	356.904000	9	39.656000	0.000000	23575.971000	596	39.556998	18.592784	39.202239	39.911758	39.084037	40.029960
1	3	9001.912000	227	39.656000	-0.000000	716697.891000	18056	39.693060	27.273744	39.614997	39.771123	39.588987	39.797133
2	0	674.152000	17	39.656000	0.000000	36193.585000	919	39.383662	8.103395	39.195053	39.572270	39.132211	39.635112
2	1	475.872000	12	39.656000	-0.000000	37952.559000	961	39.492777	15.396044	39.238547	39.747008	39.153840	39.831715
2	2	396.560000	10	39.656000	-0.000000	36803.313000	933	39.446209	11.912705	39.219249	39.673169	39.143628	39.748790
2	3	20660.776000	521	39.656000	-0.000000	1577384.436000	39833	39.599941	21.915708	39.552828	39.647054	39.537130	39.662751
2	4	634.496000	16	39.656000	0.000000	37164.632000	930	39.961970	43.264884	39.528748	40.395192	39.384402	40.539538
2	5	555.184000	14	39.656000	-0.000000	36481.026000	925	39.438947	12.022241	39.209962	39.667932	39.133667	39.744227
3	0	2696.608000	68	39.656000	0.000000	192740.794000	4839	39.830708	35.591175	39.658450	40.002965	39.601056	40.060360
3	1	1982.800000	50	39.656000	0.000000	191199.212000	4827	39.610361	22.893592	39.472035	39.748687	39.425946	39.794775
3	2	72054.952000	1817	39.656000	-0.000000	5608123.334998	141090	39.748553	31.011425	39.718775	39.778331	39.708853	39.788253
3	3	2537.984000	64	39.656000	0.000000	191594.055000	4819	39.758053	31.995108	39.594390	39.921715	39.539860	39.976245
4	0	436.216000	11	39.656000	-0.000000	32003.218000	801	39.954080	41.097986	39.499114	40.409046	39.347524	40.560636
4	1	14196.848000	358	39.656000	-0.000000	921742.055000	23161	39.797161	31.804515	39.722731	39.871592	39.697931	39.896391
4	2	436.216000	11	39.656000	-0.000000	32395.236000	816	39.700044	27.044021	39.334386	40.065702	39.212552	40.187536
4	3	396.560000	10	39.656000	-0.000000	33471.604000	837	39.989969	43.668277	39.531188	40.448749	39.378327	40.601611
5	0	0.000000	0	-nan	-nan	274.305000	7	39.186429	0.012544	39.101404	39.271454	39.073074	39.299783
5	1	0.000000	0	-nan	-nan	275.315000	7	39.330714	0.036314	39.186047	39.475381	39.137845	39.523583
5	2	0.000000	0	-nan	-nan	156.544000	4	39.136000	0.104254	38.811734	39.460266	38.703692	39.568308
5	3	0.000000	0	-nan	-nan	7791.732000	199	39.154432	0.084039	39.113156	39.195708	39.099403	39.209461
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
