episodeIndex	436
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	437	0.000000	437	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	433	1026.000000	540	2.369515	17.728883	1.247113	0.316109	1.900000	1.508464	2.327163	1.385161	2.478256
1	1	0.000000	0	-nan	-nan	26	117.000000	27	4.500000	27.620000	1.038462	0.038462	4.333333	2.126977	6.904084	1.420161	7.917255
2	0	2.000000	1	2.000000	-nan	430	3014.000000	740	7.009302	166.055857	1.720930	1.106088	4.072973	3.160589	5.100170	2.878827	5.471746
2	1	0.000000	0	-nan	-nan	55	342.000000	58	6.218182	21.581145	1.054545	0.052525	5.896552	4.441999	7.533044	3.992619	8.124740
3	0	8.000000	2	4.000000	2.000000	432	5364.000000	862	12.416667	333.431555	1.995370	1.791162	6.222738	5.013437	7.599670	4.642557	8.101846
3	1	0.000000	0	-nan	-nan	46	427.000000	49	9.282609	53.896135	1.065217	0.106763	8.714286	6.110981	11.839397	5.332581	13.032630
4	0	10.000000	2	5.000000	2.000000	436	7426.000000	887	17.032110	577.442645	2.034404	2.070078	8.372041	6.774935	10.202309	6.287043	10.872964
4	1	0.000000	0	-nan	-nan	55	622.000000	60	11.309091	53.365657	1.090909	0.084175	10.366667	7.978376	13.125714	7.252339	14.142659
5	0	7.000000	1	7.000000	-nan	431	9148.000000	888	21.225058	653.049231	2.060325	1.982399	10.301802	8.537342	12.316097	7.997063	13.052119
5	1	0.000000	0	-nan	-nan	51	597.000000	53	11.705882	40.011765	1.039216	0.038431	11.264151	9.070944	13.703124	8.388462	14.577626
6	0	18.000000	2	9.000000	2.000000	433	10328.000000	853	23.852194	570.015140	1.969977	1.524559	12.107855	10.314031	14.132706	9.760955	14.866559
6	1	0.000000	0	-nan	-nan	61	936.000000	67	15.344262	70.096175	1.098361	0.123497	13.970149	11.096789	17.358754	10.234051	18.626922
7	0	20.000000	2	10.000000	2.000000	434	13056.000000	894	30.082949	1135.526591	2.059908	2.282777	14.604027	12.166439	17.412608	11.424231	18.445812
7	1	13.000000	1	13.000000	-nan	60	1063.000000	63	17.716667	82.375989	1.050000	0.048305	16.873016	13.878338	20.211436	12.947868	21.410537
8	0	42.000000	3	14.000000	4.000000	435	15200.000000	904	34.942529	1663.911436	2.078161	2.394798	16.814159	13.925264	20.149404	13.046706	21.378154
8	1	0.000000	0	-nan	-nan	57	1206.000000	65	21.157895	294.992481	1.140351	0.158521	18.553846	13.310526	24.870975	11.756004	27.273277
9	0	32.000000	2	16.000000	2.000000	437	12347.000000	695	28.254005	790.066068	1.590389	0.916696	17.765468	15.188764	20.658563	14.391696	21.703064
