episodeIndex	842
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	843	0.000000	843	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	831	2212.000000	1080	2.661853	19.857808	1.299639	0.354687	2.048148	1.753262	2.362486	1.659021	2.471877
1	1	0.000000	0	-nan	-nan	72	333.000000	75	4.625000	21.082746	1.041667	0.040493	4.440000	3.248068	5.746164	2.873747	6.209621
2	0	24.000000	3	8.000000	28.000000	830	6670.000000	1532	8.036145	177.479995	1.845783	1.481617	4.353786	3.681334	5.091052	3.470219	5.352743
2	1	0.000000	0	-nan	-nan	99	658.000000	105	6.646465	28.883941	1.060606	0.057514	6.266667	5.014842	7.638238	4.621672	8.124845
3	0	33.000000	3	11.000000	4.000000	831	11104.000000	1706	13.362214	366.216836	2.052948	2.067073	6.508792	5.586690	7.525501	5.298220	7.887830
3	1	3.000000	1	3.000000	-nan	88	783.000000	95	8.897727	57.150340	1.079545	0.097048	8.242105	6.350357	10.383019	5.768013	11.160387
4	0	32.000000	4	8.000000	18.666667	839	15032.000000	1724	17.916567	584.599236	2.054827	2.047110	8.719258	7.539295	10.018946	7.169920	10.481784
4	1	0.000000	0	-nan	-nan	105	1258.000000	114	11.980952	89.345788	1.085714	0.079121	11.035088	8.877728	13.423285	8.204496	14.276797
5	0	27.000000	3	9.000000	28.000000	832	19883.000000	1797	23.897837	853.872823	2.159856	2.218699	11.064552	9.658623	12.612326	9.218366	13.163307
5	1	0.000000	0	-nan	-nan	111	1656.000000	122	14.918919	90.057002	1.099099	0.090090	13.573770	11.337457	16.055729	10.640699	16.944376
6	0	36.000000	2	18.000000	8.000000	836	23720.000000	1807	28.373206	1033.633006	2.161483	2.221796	13.126729	11.540608	14.872464	11.043853	15.493810
6	1	0.000000	0	-nan	-nan	118	2086.000000	133	17.677966	166.015066	1.127119	0.163190	15.684211	12.727060	19.061123	11.821749	20.295323
7	0	38.000000	2	19.000000	8.000000	835	27803.000000	1807	33.297006	1608.444056	2.164072	2.614535	15.386276	13.402060	17.587885	12.783749	18.376012
7	1	19.000000	1	19.000000	-nan	109	2054.000000	118	18.844037	119.188413	1.082569	0.094971	17.406780	14.663574	20.467863	13.811757	21.568123
8	0	40.000000	2	20.000000	8.000000	838	31478.000000	1797	37.563246	2287.374131	2.144391	2.644598	17.516973	15.171200	20.123319	14.440844	21.057246
8	1	0.000000	0	-nan	-nan	114	2586.000000	131	22.684211	598.430368	1.149123	0.198805	19.740458	14.665278	25.614878	13.124236	27.783188
9	0	23.000000	1	23.000000	-nan	843	25846.000000	1386	30.659549	1269.657115	1.644128	1.124986	18.647908	16.416026	21.088304	15.714143	21.952862
