episodeIndex	382
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0	0.000000	383	-nan	-nan	inf	-inf	0.000000	-nan	-nan	-nan	-nan
1	0	1.000000	1	1.000000	-nan	0	999.000000	499	inf	-inf	inf	-inf	2.002004	-nan	-nan	-nan	-nan
1	1	0.000000	0	-nan	-nan	0	100.000000	28	inf	-inf	inf	-inf	3.571429	-nan	-nan	-nan	-nan
2	0	2.000000	1	2.000000	-nan	0	2942.000000	710	inf	-inf	inf	-inf	4.143662	-nan	-nan	-nan	-nan
2	1	0.000000	0	-nan	-nan	0	220.000000	38	inf	-inf	inf	-inf	5.789474	-nan	-nan	-nan	-nan
3	0	3.000000	1	3.000000	-nan	0	4936.000000	790	inf	-inf	inf	-inf	6.248101	-nan	-nan	-nan	-nan
3	1	0.000000	0	-nan	-nan	0	472.000000	52	inf	-inf	inf	-inf	9.076923	-nan	-nan	-nan	-nan
4	0	10.000000	2	5.000000	2.000000	0	7008.000000	807	inf	-inf	inf	-inf	8.684015	-nan	-nan	-nan	-nan
4	1	0.000000	0	-nan	-nan	0	600.000000	52	inf	-inf	inf	-inf	11.538462	-nan	-nan	-nan	-nan
5	0	12.000000	2	6.000000	2.000000	0	9096.000000	816	inf	-inf	inf	-inf	11.147059	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0	583.000000	47	inf	-inf	inf	-inf	12.404255	-nan	-nan	-nan	-nan
6	0	8.000000	1	8.000000	-nan	0	10598.000000	809	inf	-inf	inf	-inf	13.100124	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	588.000000	38	inf	-inf	inf	-inf	15.473684	-nan	-nan	-nan	-nan
7	0	9.000000	1	9.000000	-nan	0	12129.000000	799	inf	-inf	inf	-inf	15.180225	-nan	-nan	-nan	-nan
7	1	0.000000	0	-nan	-nan	0	758.000000	48	inf	-inf	inf	-inf	15.791667	-nan	-nan	-nan	-nan
8	0	22.000000	2	11.000000	2.000000	0	14188.000000	828	inf	-inf	inf	-inf	17.135266	-nan	-nan	-nan	-nan
8	1	0.000000	0	-nan	-nan	0	990.000000	55	inf	-inf	inf	-inf	18.000000	-nan	-nan	-nan	-nan
9	0	24.000000	2	12.000000	2.000000	0	11781.000000	641	inf	-inf	inf	-inf	18.379095	-nan	-nan	-nan	-nan
