episodeIndex	709
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	710	0.000000	710	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	3.000000	1	3.000000	-nan	701	1884.000000	912	2.687589	20.112260	1.300999	0.359270	2.065789	1.743353	2.411581	1.640703	2.532427
1	1	1.000000	1	1.000000	-nan	62	270.000000	64	4.354839	17.773665	1.032258	0.031729	4.218750	3.042993	5.502783	2.672956	5.957283
2	0	44.000000	5	8.800000	37.200000	698	5576.000000	1292	7.988539	174.771748	1.851003	1.426835	4.315789	3.596366	5.109446	3.371377	5.392392
2	1	22.000000	2	11.000000	2.000000	89	588.000000	94	6.606742	28.036772	1.056180	0.053626	6.255319	4.956570	7.681260	4.549191	8.187901
3	0	77.000000	7	11.000000	18.666667	699	9227.000000	1433	13.200286	355.828023	2.050072	2.007518	6.438939	5.453564	7.533525	5.146724	7.925682
3	1	0.000000	0	-nan	-nan	77	679.000000	81	8.818182	52.045455	1.051948	0.076213	8.382716	6.426880	10.588545	5.823532	11.387491
4	0	48.000000	3	16.000000	84.000000	708	12464.000000	1434	17.604520	602.378028	2.025424	2.070074	8.691771	7.381255	10.150797	6.973736	10.674360
4	1	0.000000	0	-nan	-nan	84	956.000000	90	11.380952	63.997705	1.071429	0.067126	10.622222	8.533685	12.944506	7.883724	13.777093
5	0	187.000000	7	26.714286	23.238095	701	16155.000000	1473	23.045649	810.452199	2.101284	2.108298	10.967413	9.444530	12.658793	8.970263	13.264690
5	1	0.000000	0	-nan	-nan	93	1407.000000	103	15.129032	98.309257	1.107527	0.097008	13.660194	11.142925	16.490694	10.364945	17.513674
6	0	192.000000	7	27.428571	26.285714	703	18900.000000	1470	26.884780	895.666193	2.091038	2.042982	12.857143	11.193311	14.702697	10.674737	15.363218
6	1	0.000000	0	-nan	-nan	100	1658.000000	111	16.580000	93.761212	1.110000	0.139293	14.936937	12.350681	17.897816	11.560141	18.981968
7	0	132.000000	4	33.000000	66.666667	702	22178.000000	1484	31.592593	1185.488561	2.113960	2.355040	14.944744	12.994886	17.121711	12.389618	17.904489
7	1	0.000000	0	-nan	-nan	94	1754.000000	102	18.659574	107.646305	1.085106	0.100206	17.196078	14.348105	20.410435	13.469941	21.575285
8	0	74.000000	2	37.000000	2.000000	707	25500.000000	1494	36.067893	1579.111531	2.113154	2.361116	17.068273	14.832982	19.563402	14.139022	20.460448
8	1	40.000000	1	40.000000	-nan	93	1940.000000	106	20.860215	206.730248	1.139785	0.143291	18.301887	14.660421	22.484564	13.549560	24.019771
9	0	41.000000	1	41.000000	-nan	710	20829.000000	1149	29.336620	740.107966	1.618310	0.927450	18.127937	16.136882	20.306011	15.510915	21.077887
