episodeIndex	643
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	644	0.000000	644	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	4.000000	2	2.000000	2.000000	636	1705.000000	825	2.680818	20.916860	1.297170	0.363520	2.066667	1.722109	2.437715	1.612705	2.567763
1	1	0.000000	0	-nan	-nan	52	236.000000	54	4.538462	20.449472	1.038462	0.037707	4.370370	3.001135	5.890074	2.574540	6.434209
2	0	6.000000	2	3.000000	2.000000	632	4930.000000	1152	7.800633	176.663835	1.822785	1.356818	4.279514	3.517339	5.123704	3.279573	5.425526
2	1	0.000000	0	-nan	-nan	80	516.000000	84	6.450000	26.529114	1.050000	0.048101	6.142857	4.815416	7.600957	4.399155	8.119190
3	0	0.000000	0	-nan	-nan	636	8337.000000	1295	13.108491	360.900022	2.036164	1.953021	6.437838	5.399595	7.596152	5.077160	8.012428
3	1	5.000000	1	5.000000	-nan	68	618.000000	72	9.088235	57.036874	1.058824	0.086040	8.583333	6.413246	11.067475	5.749870	11.976989
4	0	6.000000	1	6.000000	-nan	643	11390.000000	1309	17.713841	636.217051	2.035770	2.143578	8.701299	7.303810	10.267626	6.871046	10.832406
4	1	0.000000	0	-nan	-nan	77	854.000000	83	11.090909	61.425837	1.077922	0.072796	10.289157	8.157502	12.679916	7.497655	13.542373
5	0	7.000000	1	7.000000	-nan	636	14447.000000	1333	22.715409	767.709431	2.095912	2.077401	10.837959	9.276973	12.579844	8.792259	13.205942
5	1	0.000000	0	-nan	-nan	82	1209.000000	89	14.743902	89.402740	1.085366	0.079042	13.584270	11.018865	16.462438	10.224911	17.500969
6	0	18.000000	2	9.000000	2.000000	637	16860.000000	1320	26.467818	867.636148	2.072214	2.019934	12.772727	11.038973	14.706672	10.500486	15.401614
6	1	0.000000	0	-nan	-nan	91	1490.000000	101	16.373626	90.569963	1.109890	0.143346	14.752475	12.079457	17.839187	11.266661	18.976563
7	0	33.000000	3	11.000000	4.000000	636	20046.000000	1340	31.518868	1242.073659	2.106918	2.432645	14.959701	12.868739	17.312672	12.222820	18.163542
7	1	0.000000	0	-nan	-nan	87	1612.000000	94	18.528736	112.438118	1.080460	0.098102	17.148936	14.152137	20.544794	13.230345	21.778978
8	0	26.000000	2	13.000000	2.000000	642	23140.000000	1354	36.043614	1663.711043	2.109034	2.415550	17.090103	14.698358	19.778624	13.959030	20.750073
8	1	0.000000	0	-nan	-nan	84	1720.000000	96	20.476190	215.481354	1.142857	0.148021	17.916667	14.064202	22.382847	12.895541	24.033269
9	0	15.000000	1	15.000000	-nan	644	18833.000000	1041	29.243789	768.632543	1.616460	0.933539	18.091258	15.977874	20.414537	15.315491	21.240743
