episodeIndex	904
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	905	0.000000	905	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	890	2427.000000	1159	2.726966	24.032230	1.302247	0.357363	2.094047	1.785415	2.422364	1.686651	2.536458
1	1	0.000000	0	-nan	-nan	79	355.000000	83	4.493671	19.894190	1.050633	0.048685	4.277108	3.167422	5.497372	2.819686	5.931416
2	0	2.000000	1	2.000000	-nan	891	7274.000000	1648	8.163861	203.905704	1.849607	1.532413	4.413835	3.726515	5.165982	3.510478	5.432598
2	1	0.000000	0	-nan	-nan	103	676.000000	109	6.563107	28.111175	1.058252	0.055397	6.201835	4.990610	7.524598	4.609411	7.992807
3	0	3.000000	1	3.000000	-nan	893	11954.000000	1828	13.386338	375.739589	2.047032	2.087472	6.539387	5.635567	7.533233	5.352335	7.886731
3	1	0.000000	0	-nan	-nan	96	860.000000	104	8.958333	54.250877	1.083333	0.098246	8.269231	6.490498	10.272268	5.941270	10.996967
4	0	4.000000	1	4.000000	-nan	900	16190.000000	1854	17.988889	574.340255	2.060000	2.049789	8.732470	7.599933	9.975550	7.244623	10.417126
4	1	0.000000	0	-nan	-nan	115	1354.000000	124	11.773913	82.790542	1.078261	0.072769	10.919355	8.920814	13.114399	8.294072	13.894501
5	0	5.000000	1	5.000000	-nan	894	21617.000000	1937	24.180089	929.836512	2.166667	2.320455	11.160041	9.753946	12.705538	9.313199	13.255087
5	1	0.000000	0	-nan	-nan	115	1718.000000	126	14.939130	88.478719	1.095652	0.087262	13.634921	11.448792	16.053582	10.766339	16.917629
6	0	6.000000	1	6.000000	-nan	897	25848.000000	1942	28.816054	1228.467242	2.164994	2.365604	13.309990	11.668361	15.115870	11.154052	15.758384
6	1	0.000000	0	-nan	-nan	126	2192.000000	141	17.396825	159.889270	1.119048	0.153714	15.546099	12.726363	18.743029	11.859319	19.905365
7	0	7.000000	1	7.000000	-nan	897	30079.000000	1943	33.532887	1635.514821	2.166109	2.602957	15.480700	13.551694	17.612548	12.949096	18.373538
7	1	0.000000	0	-nan	-nan	118	2205.000000	127	18.686441	114.866652	1.076271	0.088150	17.362205	14.767668	20.235648	13.958236	21.262911
8	0	8.000000	1	8.000000	-nan	900	33924.000000	1936	37.693333	2232.591057	2.151111	2.602279	17.522727	15.284671	19.997403	14.585754	20.881095
8	1	0.000000	0	-nan	-nan	122	2778.000000	140	22.770492	564.128709	1.147541	0.192928	19.842857	15.032728	25.372688	13.566130	27.403642
9	0	9.000000	1	9.000000	-nan	905	27820.000000	1492	30.740331	1234.517675	1.648619	1.119757	18.646113	16.515397	20.967628	15.843831	21.788008
