episodeIndex	359
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0	0.000000	360	-nan	-nan	inf	-inf	0.000000	-nan	-nan	-nan	-nan
1	0	6.000000	2	3.000000	8.000000	0	935.000000	471	inf	-inf	inf	-inf	1.985138	-nan	-nan	-nan	-nan
1	1	0.000000	0	-nan	-nan	0	91.000000	25	inf	-inf	inf	-inf	3.640000	-nan	-nan	-nan	-nan
2	0	12.000000	3	4.000000	4.000000	0	2732.000000	663	inf	-inf	inf	-inf	4.120664	-nan	-nan	-nan	-nan
2	1	0.000000	0	-nan	-nan	0	206.000000	35	inf	-inf	inf	-inf	5.885714	-nan	-nan	-nan	-nan
3	0	10.000000	2	5.000000	8.000000	0	4590.000000	734	inf	-inf	inf	-inf	6.253406	-nan	-nan	-nan	-nan
3	1	0.000000	0	-nan	-nan	0	441.000000	49	inf	-inf	inf	-inf	9.000000	-nan	-nan	-nan	-nan
4	0	8.000000	1	8.000000	-nan	0	6440.000000	750	inf	-inf	inf	-inf	8.586667	-nan	-nan	-nan	-nan
4	1	0.000000	0	-nan	-nan	0	584.000000	50	inf	-inf	inf	-inf	11.680000	-nan	-nan	-nan	-nan
5	0	9.000000	1	9.000000	-nan	0	8472.000000	766	inf	-inf	inf	-inf	11.060052	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0	546.000000	44	inf	-inf	inf	-inf	12.409091	-nan	-nan	-nan	-nan
6	0	10.000000	1	10.000000	-nan	0	9882.000000	763	inf	-inf	inf	-inf	12.951507	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	580.000000	37	inf	-inf	inf	-inf	15.675676	-nan	-nan	-nan	-nan
7	0	0.000000	0	-nan	-nan	0	11368.000000	754	inf	-inf	inf	-inf	15.076923	-nan	-nan	-nan	-nan
7	1	11.000000	1	11.000000	-nan	0	722.000000	46	inf	-inf	inf	-inf	15.695652	-nan	-nan	-nan	-nan
8	0	12.000000	1	12.000000	-nan	0	13380.000000	781	inf	-inf	inf	-inf	17.131882	-nan	-nan	-nan	-nan
8	1	14.000000	1	14.000000	-nan	0	990.000000	55	inf	-inf	inf	-inf	18.000000	-nan	-nan	-nan	-nan
9	0	28.000000	2	14.000000	2.000000	0	11123.000000	605	inf	-inf	inf	-inf	18.385124	-nan	-nan	-nan	-nan
