episodeIndex	335
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	336	0.000000	336	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	333	814.000000	422	2.444444	17.060910	1.267267	0.334980	1.928910	1.495004	2.408749	1.359511	2.580112
1	1	0.000000	0	-nan	-nan	19	62.000000	20	3.263158	1.315789	1.052632	0.052632	3.100000	2.330011	4.050746	2.080902	4.461755
2	0	2.000000	1	2.000000	-nan	331	2260.000000	571	6.827795	116.585407	1.725076	1.078733	3.957968	3.063341	4.979994	2.789523	5.353635
2	1	0.000000	0	-nan	-nan	42	266.000000	45	6.333333	22.227642	1.071429	0.067944	5.911111	4.219952	7.879727	3.701699	8.619158
3	0	3.000000	1	3.000000	-nan	333	3968.000000	650	11.915916	260.703752	1.951952	1.696480	6.104615	4.838756	7.571159	4.454598	8.112838
3	1	0.000000	0	-nan	-nan	39	338.000000	42	8.666667	31.070175	1.076923	0.125506	8.047619	5.755978	10.886351	5.075320	12.010504
4	0	34.000000	3	11.333333	41.333333	335	5432.000000	667	16.214925	432.528519	1.991045	1.937045	8.143928	6.499108	10.062061	6.001916	10.773973
4	1	0.000000	0	-nan	-nan	40	428.000000	43	10.700000	50.574359	1.075000	0.071154	9.953488	7.261519	13.109545	6.437149	14.305808
5	0	50.000000	4	12.500000	27.666667	330	6703.000000	667	20.312121	508.276144	2.021212	1.832375	10.049475	8.208358	12.185066	7.650033	12.974567
5	1	0.000000	0	-nan	-nan	42	512.000000	44	12.190476	44.938444	1.047619	0.046458	11.636364	9.061364	14.564170	8.260888	15.645061
6	0	46.000000	4	11.500000	25.000000	333	7934.000000	659	23.825826	567.306921	1.978979	1.556786	12.039454	10.019406	14.360776	9.403341	15.213073
6	1	0.000000	0	-nan	-nan	46	680.000000	50	14.782609	67.285024	1.086957	0.125604	13.600000	10.356209	17.539302	9.392876	19.056640
7	0	27.000000	3	9.000000	4.000000	334	10011.000000	691	29.973054	1127.419692	2.068862	2.394643	14.487699	11.738988	17.728805	10.913601	18.941633
7	1	19.000000	1	19.000000	-nan	47	829.000000	49	17.638298	75.105458	1.042553	0.041628	16.918367	13.691004	20.539232	12.687161	21.852596
8	0	28.000000	2	14.000000	72.000000	334	11388.000000	684	34.095808	1570.225027	2.047904	2.370071	16.649123	13.414259	20.466651	12.443372	21.896064
8	1	0.000000	0	-nan	-nan	46	998.000000	53	21.695652	351.460870	1.152174	0.176329	18.830189	12.631164	26.533900	10.814690	29.554032
9	0	21.000000	1	21.000000	-nan	336	9257.000000	523	27.550595	795.060119	1.556548	0.916196	17.699809	14.722788	21.107014	13.812634	22.354314
